DATE,Avg. Price,East,Midwest,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW
Jun-08,310.71,335.00,330.00,290.00,290.00,310.00,310.00,310.00
May-08,310.71,335.00,330.00,290.00,290.00,310.00,310.00,310.00
Apr-08,310.71,335.00,330.00,290.00,290.00,310.00,310.00,310.00
Mar-08,310.71,335.00,330.00,290.00,290.00,310.00,310.00,310.00
Feb-08,306.43,335.00,330.00,290.00,290.00,300.00,300.00,300.00
Jan-08,298.57,335.00,305.00,290.00,290.00,290.00,290.00,290.00
Dec-07,298.57,335.00,305.00,290.00,290.00,290.00,290.00,290.00
Nov-07,297.14,325.00,305.00,290.00,290.00,290.00,290.00,290.00
Oct-07,271.43,295.00,275.00,260.00,260.00,270.00,270.00,270.00
Sep-07,265.00,295.00,275.00,260.00,260.00,255.00,255.00,255.00
Aug-07,261.43,285.00,260.00,260.00,260.00,255.00,255.00,255.00
Jul-07,252.86,285.00,240.00,240.00,240.00,255.00,255.00,255.00
Jun-07,247.14,275.00,230.00,230.00,230.00,255.00,255.00,255.00
May-07,247.14,275.00,230.00,230.00,230.00,255.00,255.00,255.00
Apr-07,255.71,275.00,240.00,240.00,240.00,265.00,265.00,265.00
Mar-07,253.57,245.00,240.00,240.00,240.00,270.00,270.00,270.00
Feb-07,249.29,245.00,240.00,240.00,240.00,260.00,260.00,260.00
Jan-07,236.43,245.00,210.00,210.00,210.00,260.00,260.00,260.00
Dec-06,227.86,245.00,210.00,210.00,210.00,240.00,240.00,240.00
Nov-06,227.86,245.00,210.00,210.00,210.00,240.00,240.00,240.00
Oct-06,223.57,245.00,210.00,210.00,210.00,230.00,230.00,230.00
Sep-06,220.71,245.00,200.00,200.00,210.00,230.00,230.00,230.00
Aug-06,218.57,230.00,200.00,200.00,210.00,230.00,230.00,230.00
Jul-06,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Jun-06,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
May-06,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Apr-06,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Mar-06,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Feb-06,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Jan-06,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Dec-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Nov-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Oct-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Sep-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Aug-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Jul-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Jun-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
May-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Apr-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Mar-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Feb-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Jan-05,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Dec-04,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Nov-04,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Oct-04,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Sep-04,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Aug-04,217.14,230.00,190.00,200.00,210.00,230.00,230.00,230.00
Jul-04,195.71,210.00,160.00,180.00,190.00,210.00,210.00,210.00
Jun-04,195.71,210.00,160.00,180.00,190.00,210.00,210.00,210.00
May-04,195.71,210.00,160.00,180.00,190.00,210.00,210.00,210.00
Apr-04,195.71,210.00,160.00,180.00,190.00,210.00,210.00,210.00
Mar-04,195.71,210.00,160.00,180.00,190.00,210.00,210.00,210.00
Feb-04,195.71,210.00,160.00,180.00,190.00,210.00,210.00,210.00
Jan-04,195.71,210.00,160.00,180.00,190.00,210.00,210.00,210.00
Dec-03,195.71,210.00,160.00,180.00,190.00,210.00,210.00,210.00
Nov-03,195.71,210.00,160.00,180.00,190.00,210.00,210.00,210.00
Oct-03,194.29,200.00,160.00,180.00,190.00,210.00,210.00,210.00
Sep-03,192.86,190.00,160.00,180.00,190.00,210.00,210.00,210.00
Aug-03,192.86,190.00,160.00,180.00,190.00,210.00,210.00,210.00
Jul-03,194.29,190.00,170.00,180.00,190.00,210.00,210.00,210.00
Jun-03,202.86,200.00,170.00,190.00,200.00,220.00,220.00,220.00
May-03,202.86,200.00,170.00,190.00,200.00,220.00,220.00,220.00
Apr-03,202.86,200.00,170.00,190.00,200.00,220.00,220.00,220.00
Mar-03,192.86,190.00,160.00,180.00,190.00,210.00,210.00,210.00
Feb-03,192.86,190.00,160.00,180.00,190.00,210.00,210.00,210.00
Jan-03,192.86,190.00,160.00,180.00,190.00,210.00,210.00,210.00
Dec-02,192.86,190.00,160.00,180.00,190.00,210.00,210.00,210.00
Nov-02,182.86,180.00,150.00,170.00,180.00,200.00,200.00,200.00
Oct-02,182.86,180.00,150.00,170.00,180.00,200.00,200.00,200.00
Sep-02,182.86,180.00,150.00,170.00,180.00,200.00,200.00,200.00
Aug-02,182.86,180.00,150.00,170.00,180.00,200.00,200.00,200.00
Jul-02,182.86,180.00,150.00,170.00,180.00,200.00,200.00,200.00
Jun-02,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
May-02,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Apr-02,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Mar-02,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Feb-02,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Jan-02,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Dec-01,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Nov-01,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Oct-01,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Sep-01,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Aug-01,162.86,160.00,130.00,150.00,160.00,180.00,180.00,180.00
Jul-01,161.43,150.00,130.00,150.00,160.00,180.00,180.00,180.00
Jun-01,161.43,150.00,130.00,150.00,160.00,180.00,180.00,180.00
