"EXPORT - ONP #8 HISTORICAL PRICES",,,,,,,,,,,,,
,,,,,,,,,,,,,
,"DATE",,"Avg. Price","Chicago","New York","Los Angeles",,,,,,,
,,,,,,,,,,,,,
,Nov-14,,,,,,,,,,,,
,Oct-14,,$103.67,$80.00,$107.00,$124.00,,,,,,,
,Sep-14,,$106.00,$83.00,$107.00,$128.00,,,,,,,
,Aug-14,,$106.67,$83.00,$112.00,$125.00,,,,,,,
,Jul-14,,$110.33,$81.00,$114.00,$136.00,,,,,,,
,Jun-14,,$110.00,$81.00,$112.00,$137.00,,,,,,,
,May-14,,$112.67,$83.00,$115.00,$140.00,,,,,,,
,Apr-14,,$110.33,$81.00,$113.00,$137.00,,,,,,,
,Mar-14,,$111.00,$82.00,$113.00,$138.00,,,,,,,
,Feb-14,,$110.00,$81.00,$113.00,$136.00,,,,,,,
,Jan-14,,$112.67,$79.00,$118.00,$141.00,,,,,,,
,Dec-13,,$113.33,$83.00,$117.00,$140.00,,,,,,,
,Nov-13,,$120.33,$93.00,$125.00,$143.00,,,,,,,
,Oct-13,,$117.67,$120.00,$93.00,$140.00,,,,,,,
,Sep-13,,$108.67,$85.00,$110.00,$131.00,,,,,,," "
,Aug-13,,$101.33,$75.00,$104.00,$125.00,,," "," "," ",,
,Jul-13,,$111.00,$87.00,$112.00,$134.00,,," "," "," ",,
,Jun-13,,$177.00," ",$177.00,$177.00,,," "," "," ",,
,May-13,,$123.33,$100.00,$123.00,$147.00,,," "," "," ",,
,Apr-13,,$125.33,$101.00,$125.00,$150.00,,,,,,,
,Mar-13,,$132.67,$133.00,$110.00,$155.00,,,,,,,
,Feb-13,,$131.00,$108.00,$130.00,$155.00,,,,,,,
,Jan-13,,$122.67,$100.00,$125.00,$143.00,,,,,,,
,Dec-12,,$132.33,$111.00,$133.00,$153.00,,,,,,,
,Nov-12,,$131.33,$110.00,$131.00,$153.00,,,,,,,
,Oct-12,,$108.67,$84.00,$111.00,$131.00,,,,,,,
,Sep-12,,$86.00,$64.00,$87.00,$107.00,,,,,,,
,Aug-12,,$95.33,$75.00,$95.00,$116.00,,,,,,,
,Jul-12,,$128.33,$103.00,$130.00,$152.00,,,,,,,
,Jun-12,,$132.33,$105.00,$134.00,$158.00,,,,,,,
,May-12,,$135.67,$110.00,$137.00,$160.00,,,,,,,
,Apr-12,,$138.33,$113.00,$140.00,$162.00,,,,,,,
,Mar-12,,$140.00,$115.00,$143.00,$162.00,,,,,,,
,Feb-12,,$138.33,$115.00,$140.00,$160.00,,,,,,,
,Jan-12,,$135.67,$112.00,$138.00,$157.00,,,,,,,
,Dec-11,,$133.67,$112.00,$134.00,$155.00,,,,,,,
,Nov-11,,$126.00,$105.00,$128.00,$145.00,,,,,,,
,Oct-11,,$191.33,$172.00,$193.00,$209.00,,,,,,,
,Sep-11,,$193.67,$175.00,$193.00,$213.00,,,,,,,
,Aug-11,,$194.33,$174.00,$194.00,$215.00,,,,,,,
,Jul-11,,$191.33,$173.00,$192.00,$209.00,,,,,,,
,Jun-11,,$186.33,$168.00,$184.00,$207.00,,,,,,,
,May-11,,$186.67,$168.00,$184.00,$208.00,,,,,,,
,Apr-11,,$190.00,$173.00,$187.00,$210.00,,,,,,,
,Mar-11,,$192.00,$176.00,$190.00,$210.00,,,,,,,
,Feb-11,,$178.33,$152.00,$183.00,$200.00,,,,,,,
,Jan-11,,$173.67,$144.00,$180.00,$197.00,,,,,,,
,Dec-10,,$164.67,$143.00,$168.00,$183.00,,,,,,,
,Nov-10,,$152.67,$125.00,$158.00,$175.00,,,,,,,
,Oct-10,,$138.67,$116.00,$140.00,$160.00,,,,,,,
,Sep-10,,$129.00,$107.00,$130.00,$150.00,,,,,,,
,Aug-10,,$117.00,$93.00,$118.00,$140.00,,,,,,,
,Jul-10,,$118.33,$99.00,$118.00,$138.00,,,,,,,
,Jun-10,,$122.67,$111.00,$117.00,$140.00,,,,,,,
,May-10,,$145.33,$123.00,$145.00,$168.00,,,,,,,
,Apr-10,,$129.67,$103.00,$130.00,$156.00,,,,,,,
,Mar-10,,$134.67,$113.00,$135.00,$156.00,,,,,,,
,Feb-10,,$123.00,$103.00,$123.00,$143.00,,,,,,,
,Jan-10,,$120.33,$93.00,$122.00,$146.00,,,,,,,
,Dec-09,,$116.00,$90.00,$120.00,$138.00,,,,,,,
,Nov-09,,$120.00,$96.00,$124.00,$140.00,,,,,,,
,Oct-09,,$115.00,$92.00,$120.00,$133.00,,,,,,,
,Sep-09,,$113.00,$92.00,$117.00,$130.00,,,,,,,
,Aug-09,,$103.33,$86.00,$102.00,$122.00,,,,,,,
,Jul-09,,$95.33,$77.00,$97.00,$112.00,,,,,,,
,Jun-09,,$93.00,$74.00,$95.00,$110.00,,,,,,,
,May-09,,$86.33,$69.00,$88.00,$102.00,,,,,,,
,"Apr-09",,$80.00,$58.00,$85.00,$97.00,,,,,,,
,"Mar-09",,$76.00,$53.00,$80.00,$95.00,,,,,,,
,"Feb-09",,$73.00,$58.00,$73.00,$88.00,,,,,,,
,Jan-09,,$59.67,$47.00,$56.00,$76.00,,,,,,,
,,,,,,,,,,,,,
,"AVG",," ",$106.73,$128.97,$147.67," "," "," "," "," "," "," "
