DATE,Avg. Price,Chicago,New York,Los Angeles
Oct-14,138.00,110.00,142.00,162.0
Sep-14,132.33,104.00,135.00,158.0
Aug-14,142.67,116.00,144.00,168.0
Jul-14,144.67,115.00,147.00,172.0
Jun-14,139.00,110.00,140.00,167.0
May-14,142.67,113.00,143.00,172.0
Apr-14,139.00,110.00,138.00,169.0
Mar-14,164.33,137.00,163.00,193.0
Feb-14,164.00,135.00,165.00,192.0
Jan-14,154.67,125.00,156.00,183.0
Dec-13,148.67,122.00,150.00,174.0
Nov-13,171.00,145.00,174.00,194.0
Oct-13,170.33,172.00,145.00,194.0
Sep-13,168.00,144.00,170.00,190.0 
Aug-13,171.33,147.00,173.00,194.0
Jul-13,165.00,141.00,167.00,187.0
Jun-13,213.00,,213.00,213.0
May-13,145.00,123.00,144.00,168.0
Apr-13,156.00,132.00,153.00,183.0
Mar-13,163.33,164.00,140.00,186.0
Feb-13,155.33,135.00,156.00,175.0
Jan-13,147.33,125.00,147.00,170.0
Dec-12,154.33,132.00,153.00,178.0
Nov-12,165.33,143.00,166.00,187.0
Oct-12,150.33,124.00,153.00,174.0
Sep-12,119.67,98.00,121.00,140.0
Aug-12,131.67,110.00,130.00,155.0
Jul-12,154.67,125.00,158.00,181.0
Jun-12,157.67,130.00,160.00,183.0
May-12,161.00,135.00,163.00,185.0
Apr-12,163.67,140.00,162.00,189.0
Mar-12,177.67,155.00,180.00,198.0
Feb-12,175.00,148.00,180.00,197.0
Jan-12,170.67,143.00,177.00,192.0
Dec-11,163.67,142.00,167.00,182.0
Nov-11,148.33,129.00,147.00,169.0
Oct-11,212.00,194.00,210.00,232.0
Sep-11,214.33,198.00,212.00,233.0
Aug-11,214.67,195.00,212.00,237.0
Jul-11,214.33,193.00,215.00,235.0
Jun-11,202.33,180.00,202.00,225.0
May-11,198.67,175.00,199.00,222.0
Apr-11,206.33,185.00,206.00,228.0
Mar-11,209.67,185.00,212.00,232.0
Feb-11,198.00,171.00,201.00,222.0
Jan-11,196.00,163.00,202.00,223.0
Dec-10,206.33,180.00,211.00,228.0
Nov-10,197.33,170.00,204.00,218.0
Oct-10,180.67,158.00,182.00,202.0
Sep-10,179.33,158.00,180.00,200.0
Aug-10,157.67,135.00,158.00,180.0
Jul-10,156.00,138.00,158.00,172.0
Jun-10,128.33,115.00,122.00,148.0
May-10,158.33,135.00,160.00,180.0
Apr-10,147.33,123.00,148.00,171.0
Mar-10,204.33,190.00,205.00,218.0
Feb-10,170.00,153.00,172.00,185.0
Jan-10,149.67,123.00,151.00,175.0
Dec-09,120.00,95.00,122.00,143.0
Nov-09,118.67,94.00,122.00,140.0
Oct-09,108.67,87.00,111.00,128.0
Sep-09,114.00,93.00,118.00,131.0
Aug-09,119.33,100.00,120.00,138.0
Jul-09,104.33,86.00,105.00,122.0
Jun-09,106.00,86.00,107.00,125.0
May-09,94.33,78.00,95.00,110.0
Apr-09,83.00,61.00,88.00,100.0
Mar-09,71.33,57.00,72.00,85.0
Feb-09,78.33,65.00,80.00,90.0
Jan-09,60.00,50.00,55.00,75.0
