DATE,Avg. Price,East,Midwest,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW
Oct-14,335.83,370.00,330.00,340.00,345.00,325.00,,305.00
Sep-14,335.83,370.00,330.00,340.00,345.00,325.00,,305.00
Aug-14,330.00,360.00,320.00,330.00,335.00,330.00,,305.00
Jul-14,328.33,360.00,310.00,330.00,335.00,330.00,,305.00
Jun-14,328.33,360.00,310.00,330.00,335.00,330.00,,305.00
May-14,328.33,360.00,310.00,330.00,335.00,330.00,,305.00
Apr-14,328.33,360.00,310.00,330.00,335.00,330.00,,305.00
Mar-14,328.33,360.00,310.00,330.00,335.00,330.00,,305.00
Feb-14,323.33,350.00,310.00,320.00,325.00,330.00,,305.00
Jan-14,323.33,350.00,310.00,320.00,325.00,330.00,,305.00
Dec-13,323.33,350.00,310.00,320.00,325.00,330.00,,305.00
Nov-13,323.33,350.00,310.00,320.00,325.00,330.00,,305.00
Oct-13,323.33,350.00,310.00,320.00,325.00,330.00,,305.00
Sep-13,318.33,330.00,300.00,320.00,325.00,330.00,,305.00 
Aug-13,319.17,330.00,300.00,320.00,325.00,330.00, ,310.00
Jul-13,320.00,330.00,300.00,320.00,325.00,335.00, ,310.00
Jun-13,321.67,330.00,300.00,320.00,335.00,335.00, ,310.00
May-13,320.83,330.00,300.00,320.00,335.00,330.00, ,310.00
Apr-13,321.67,330.00,300.00,320.00,340.00,330.00,,310.00
Mar-13,321.67,330.00,300.00,320.00,340.00,330.00,,310.00
Feb-13,311.67,320.00,290.00,310.00,330.00,315.00,,305.00
Jan-13,306.67,310.00,290.00,310.00,330.00,315.00,,285.00
Dec-12,332.86,360.00,325.00,355.00,365.00,305.00,305.00,315.00
Nov-12,335.71,360.00,325.00,355.00,365.00,315.00,315.00,315.00
Oct-12,335.71,360.00,325.00,355.00,365.00,315.00,315.00,315.00
Sep-12,341.43,370.00,335.00,365.00,375.00,315.00,315.00,315.00
Aug-12,355.71,380.00,350.00,380.00,390.00,330.00,330.00,330.00
Jul-12,375.71,400.00,370.00,400.00,410.00,350.00,350.00,350.00
Jun-12,375.71,400.00,370.00,400.00,410.00,350.00,350.00,350.00
May-12,382.14,400.00,370.00,400.00,410.00,365.00,365.00,365.00
Apr-12,382.14,400.00,370.00,400.00,410.00,365.00,365.00,365.00
Mar-12,385.00,390.00,400.00,400.00,410.00,365.00,365.00,365.00
Feb-12,382.14,370.00,400.00,400.00,410.00,365.00,365.00,365.00
Jan-12,380.71,370.00,400.00,400.00,400.00,365.00,365.00,365.00
Dec-11,385.00,370.00,400.00,400.00,400.00,375.00,375.00,375.00
Nov-11,396.43,390.00,410.00,410.00,410.00,385.00,385.00,385.00
Oct-11,441.43,450.00,455.00,455.00,455.00,425.00,425.00,425.00
Sep-11,490.00,550.00,520.00,520.00,520.00,440.00,440.00,440.00
Aug-11,500.00,560.00,530.00,530.00,530.00,450.00,450.00,450.00
Jul-11,504.29,560.00,530.00,530.00,530.00,460.00,460.00,460.00
Jun-11,502.86,550.00,530.00,530.00,530.00,460.00,460.00,460.00
May-11,501.43,540.00,530.00,530.00,530.00,460.00,460.00,460.00
Apr-11,501.43,540.00,530.00,530.00,530.00,460.00,460.00,460.00
Mar-11,501.43,540.00,530.00,530.00,530.00,460.00,460.00,460.00
Feb-11,501.43,540.00,530.00,530.00,530.00,460.00,460.00,460.00
Jan-11,501.43,540.00,530.00,530.00,530.00,460.00,460.00,460.00
Dec-10,501.43,540.00,530.00,530.00,530.00,460.00,460.00,460.00
Nov-10,501.43,540.00,530.00,530.00,530.00,460.00,460.00,460.00
Oct-10,501.43,540.00,530.00,530.00,530.00,460.00,460.00,460.00
Sep-10,501.43,540.00,530.00,530.00,530.00,460.00,460.00,460.00
Aug-10,510.00,540.00,540.00,540.00,540.00,470.00,470.00,470.00
Jul-10,510.00,540.00,540.00,540.00,540.00,470.00,470.00,470.00
Jun-10,526.43,550.00,550.00,550.00,550.00,495.00,495.00,495.00
May-10,514.29,540.00,540.00,540.00,540.00,480.00,480.00,480.00
Apr-10,514.29,540.00,540.00,540.00,540.00,480.00,480.00,480.00
Mar-10,464.29,490.00,490.00,490.00,490.00,430.00,430.00,430.00
Feb-10,422.86,455.00,440.00,440.00,440.00,395.00,395.00,395.00
Jan-10,400.71,445.00,420.00,400.00,400.00,380.00,380.00,380.00
Dec-09,390.00,430.00,410.00,390.00,390.00,370.00,370.00,370.00
Nov-09,387.14,440.00,400.00,380.00,380.00,370.00,370.00,370.00
Oct-09,364.29,420.00,380.00,350.00,350.00,350.00,350.00,350.00
Sep-09,355.71,390.00,350.00,350.00,350.00,350.00,350.00,350.00
Aug-09,312.14,330.00,310.00,310.00,320.00,305.00,305.00,305.00
Jul-09,282.14,300.00,280.00,280.00,290.00,275.00,275.00,275.00
Jun-09,260.71,280.00,260.00,250.00,270.00,255.00,255.00,255.00
May-09,250.71,270.00,250.00,240.00,260.00,245.00,245.00,245.00
Apr-09,260.71,310.00,255.00,245.00,265.00,250.00,250.00,250.00
Mar-09,283.57,350.00,275.00,265.00,285.00,270.00,270.00,270.00
Feb-09,300.71,370.00,295.00,285.00,285.00,290.00,290.00,290.00
Jan-09,326.43,370.00,325.00,315.00,315.00,320.00,320.00,320.00
Dec-08,362.14,410.00,355.00,345.00,345.00,360.00,360.00,360.00
Nov-08,390.71,430.00,385.00,375.00,375.00,390.00,390.00,390.00
Oct-08,432.14,480.00,435.00,425.00,425.00,420.00,420.00,420.00
Sep-08,432.14,480.00,435.00,425.00,425.00,420.00,420.00,420.00
