DATE,Avg. Price,East,Midwest,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW
Oct-14,319.00,340.00,300.00,325.00,330.00,300.00
Sep-14,319.00,340.00,300.00,325.00,330.00,300.00
Aug-14,312.00,330.00,290.00,315.00,320.00,305.00
Jul-14,310.00,330.00,280.00,315.00,320.00,305.00
Jun-14,310.00,330.00,280.00,315.00,320.00,305.00
May-14,310.00,330.00,280.00,315.00,320.00,305.00
Apr-14,310.00,330.00,280.00,315.00,320.00,305.00
Mar-14,310.00,330.00,280.00,315.00,320.00,305.00
Feb-14,304.00,320.00,280.00,305.00,310.00,305.00
Jan-14,304.00,320.00,280.00,305.00,310.00,305.00
Dec-13,304.00,320.00,280.00,305.00,310.00,305.00
Nov-13,304.00,320.00,280.00,305.00,310.00,305.00
Oct-13,304.00,320.00,280.00,305.00,310.00,305.00
Sep-13,300.00,300.00,280.00,305.00,310.00,305.00 
Aug-13,300.00,300.00,280.00,305.00,310.00,305.00 
Jul-13,301.00,300.00,280.00,305.00,310.00,310.00 
Jun-13,301.00,300.00,280.00,305.00,310.00,310.00 
May-13,300.00,300.00,280.00,305.00,310.00,305.00 
Apr-13,300.00,300.00,280.00,305.00,310.00,305.00
Mar-13,300.00,300.00,280.00,305.00,310.00,305.00
Feb-13,289.00,290.00,270.00,290.00,300.00,295.00
Jan-13,285.00,280.00,270.00,280.00,300.00,295.00
Dec-12,309.29,315.00,305.00,325.00,340.00,290.00,290.00,300.00
Nov-12,312.14,315.00,305.00,325.00,340.00,300.00,300.00,300.00
Oct-12,312.14,315.00,305.00,325.00,340.00,300.00,300.00,300.00
Sep-12,317.86,325.00,315.00,335.00,350.00,300.00,300.00,300.00
Aug-12,355.71,380.00,350.00,380.00,390.00,330.00,330.00,330.00
Jul-12,352.86,360.00,350.00,370.00,385.00,335.00,335.00,335.00
Jun-12,352.86,360.00,350.00,370.00,385.00,335.00,335.00,335.00
May-12,359.29,360.00,350.00,370.00,385.00,350.00,350.00,350.00
Apr-12,360.71,360.00,360.00,370.00,385.00,350.00,350.00,350.00
Mar-12,360.71,360.00,360.00,370.00,385.00,350.00,350.00,350.00
Feb-12,360.71,360.00,360.00,370.00,385.00,350.00,350.00,350.00
Jan-12,359.29,360.00,360.00,370.00,375.00,350.00,350.00,350.00
Dec-11,359.29,360.00,360.00,370.00,375.00,350.00,350.00,350.00
Nov-11,379.29,380.00,380.00,390.00,395.00,370.00,370.00,370.00
Oct-11,409.29,410.00,410.00,420.00,425.00,400.00,400.00,400.00
Sep-11,432.86,440.00,440.00,450.00,455.00,415.00,415.00,415.00
Aug-11,450.00,440.00,440.00,450.00,485.00,445.00,445.00,445.00
Jul-11,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Jun-11,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
May-11,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Apr-11,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Mar-11,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Feb-11,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Jan-11,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Dec-10,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Nov-10,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Oct-10,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Sep-10,454.29,440.00,440.00,450.00,485.00,455.00,455.00,455.00
Aug-10,464.29,450.00,450.00,460.00,495.00,465.00,465.00,465.00
Jul-10,464.29,450.00,450.00,460.00,495.00,465.00,465.00,465.00
Jun-10,480.71,460.00,460.00,470.00,505.00,490.00,490.00,490.00
May-10,497.86,490.00,490.00,500.00,535.00,490.00,490.00,490.00
Apr-10,468.57,450.00,450.00,460.00,495.00,475.00,475.00,475.00
Mar-10,418.57,400.00,400.00,410.00,445.00,425.00,425.00,425.00
Feb-10,388.57,370.00,370.00,380.00,415.00,395.00,395.00,395.00
Jan-10,358.57,340.00,340.00,350.00,385.00,365.00,365.00,365.00
Dec-09,348.57,330.00,330.00,340.00,375.00,355.00,355.00,355.00
Nov-09,345.71,330.00,330.00,330.00,365.00,355.00,355.00,355.00
Oct-09,337.14,330.00,330.00,330.00,365.00,335.00,335.00,335.00
Sep-09,337.14,330.00,330.00,330.00,365.00,335.00,335.00,335.00
Aug-09,287.14,280.00,280.00,280.00,315.00,285.00,285.00,285.00
Jul-09,257.14,250.00,250.00,250.00,285.00,255.00,255.00,255.00
Jun-09,237.14,230.00,230.00,230.00,265.00,235.00,235.00,235.00
May-09,227.14,220.00,220.00,220.00,255.00,225.00,225.00,225.00
Apr-09,232.14,225.00,225.00,225.00,260.00,230.00,230.00,230.00
Mar-09,252.14,245.00,245.00,245.00,280.00,250.00,250.00,250.00
Feb-09,269.29,265.00,265.00,265.00,280.00,270.00,270.00,270.00
Jan-09,299.29,295.00,295.00,295.00,310.00,300.00,300.00,300.00
Dec-08,334.29,330.00,330.00,330.00,345.00,335.00,335.00,335.00
Nov-08,364.29,360.00,360.00,360.00,375.00,365.00,365.00,365.00
Oct-08,406.43,415.00,410.00,410.00,425.00,395.00,395.00,395.00
Sep-08,406.43,415.00,410.00,410.00,425.00,395.00,395.00,395.00
Aug-08,406.43,415.00,410.00,410.00,425.00,395.00,395.00,395.00
Jul-08,403.57,405.00,400.00,410.00,425.00,395.00,395.00,395.00
Jun-08,403.57,405.00,400.00,410.00,425.00,395.00,395.00,395.00
May-08,405.71,405.00,415.00,410.00,425.00,395.00,395.00,395.00
Apr-08,405.71,405.00,415.00,410.00,425.00,395.00,395.00,395.00
Mar-08,405.71,405.00,415.00,410.00,425.00,395.00,395.00,395.00
Feb-08,397.14,405.00,405.00,400.00,415.00,385.00,385.00,385.00
Jan-08,390.00,405.00,405.00,390.00,405.00,375.00,375.00,375.00
Dec-07,381.43,390.00,390.00,375.00,390.00,375.00,375.00,375.00
Nov-07,375.71,380.00,380.00,365.00,380.00,375.00,375.00,375.00
Oct-07,358.57,350.00,350.00,335.00,350.00,375.00,375.00,375.00
Sep-07,352.14,350.00,350.00,335.00,350.00,360.00,360.00,360.00
Aug-07,350.71,350.00,340.00,335.00,350.00,360.00,360.00,360.00
Jul-07,350.71,350.00,340.00,335.00,350.00,360.00,360.00,360.00
Jun-07,350.71,350.00,340.00,335.00,350.00,360.00,360.00,360.00
May-07,350.71,350.00,340.00,335.00,350.00,360.00,360.00,360.00
Apr-07,359.29,350.00,350.00,345.00,360.00,370.00,370.00,370.00
Mar-07,365.71,350.00,350.00,345.00,360.00,385.00,385.00,385.00
Feb-07,359.29,350.00,350.00,345.00,360.00,370.00,370.00,370.00
Jan-07,344.29,330.00,330.00,325.00,360.00,355.00,355.00,355.00
Dec-06,333.57,330.00,330.00,325.00,345.00,335.00,335.00,335.00
Nov-06,333.57,330.00,330.00,325.00,345.00,335.00,335.00,335.00
