DATE,Avg. Price,East,Midwest,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW,,,
Oct-14,$103.57,$110.00,$95.00,$105.00,$105.00,$115.00,$105.00,$90.00,,,
Sep-14,$105.00,$110.00,$95.00,$105.00,$105.00,$120.00,$110.00,$90.00,,,
Aug-14,$112.86,$120.00,$100.00,$110.00,$110.00,$130.00,$120.00,$100.00,,,
Jul-14,$114.29,$125.00,$100.00,$115.00,$110.00,$130.00,$120.00,$100.00,,,
Jun-14,$114.29,$125.00,$100.00,$115.00,$110.00,$130.00,$120.00,$100.00,,,
May-14,$119.29,$135.00,$110.00,$120.00,$115.00,$130.00,$120.00,$105.00,,,
Apr-14,$121.43,$135.00,$115.00,$125.00,$120.00,$130.00,$120.00,$105.00,,,
Mar-14,$135.00,$150.00,$125.00,$140.00,$130.00,$140.00,$140.00,$120.00,,,
Feb-14,$125.71,$135.00,$115.00,$115.00,$120.00,$140.00,$140.00,$115.00,,,
Jan-14,$123.57,$135.00,$115.00,$115.00,$120.00,$135.00,$135.00,$110.00,,,
Dec-13,$124.29,$135.00,$115.00,$120.00,$120.00,$135.00,$135.00,$110.00,,,
Nov-13,$134.29,$145.00,$120.00,$135.00,$130.00,$145.00,$145.00,$120.00,,,
Oct-13,$137.14,$145.00,$125.00,$140.00,$135.00,$145.00,$145.00,$125.00,,,
Sep-13,$137.14,$145.00,$125.00,$140.00,$135.00,$145.00,$145.00,$125.00,,, 
Aug-13,$137.14,$145.00,$125.00,$140.00,$135.00,$145.00,$145.00,$125.00, ,,
Jul-13,$133.57,$140.00,$125.00,$140.00,$135.00,$140.00,$140.00,$115.00, ,,
Jun-13,$125.71,$130.00,$120.00,$130.00,$125.00,$135.00,$135.00,$105.00, ,,
May-13,$125.71,$130.00,$120.00,$130.00,$125.00,$135.00,$135.00,$105.00, ,,
Apr-13,$135.71,$140.00,$130.00,$140.00,$135.00,$145.00,$145.00,$115.00,,,
Mar-13,$135.71,$140.00,$130.00,$140.00,$135.00,$145.00,$145.00,$115.00,,,
Feb-13,$126.43,$130.00,$120.00,$130.00,$130.00,$130.00,$130.00,$115.00,,,
Jan-13,$119.29,$120.00,$110.00,$120.00,$120.00,$125.00,$125.00,$115.00,,,
Dec-12,$112.14,$115.00,$90.00,$110.00,$105.00,$120.00,$120.00,$125.00,,,
Nov-12,$108.57,$110.00,$85.00,$95.00,$85.00,$130.00,$130.00,$125.00,,,
Oct-12,$93.57,$100.00,$75.00,$80.00,$70.00,$115.00,$110.00,$105.00,,,
Sep-12,$87.86,$100.00,$75.00,$80.00,$70.00,$100.00,$95.00,$95.00,,,
Aug-12,$105.00,$120.00,$90.00,$95.00,$85.00,$115.00,$110.00,$120.00,,,
Jul-12,$117.86,$120.00,$110.00,$115.00,$105.00,$125.00,$120.00,$130.00,,,
Jun-12,$127.86,$130.00,$120.00,$125.00,$115.00,$135.00,$130.00,$140.00,,,
May-12,$139.29,$140.00,$130.00,$135.00,$135.00,$145.00,$140.00,$150.00,,,
Apr-12,$147.86,$150.00,$130.00,$145.00,$145.00,$155.00,$150.00,$160.00,,,
Mar-12,$147.86,$150.00,$130.00,$145.00,$145.00,$155.00,$150.00,$160.00,,,
Feb-12,$142.14,$140.00,$120.00,$135.00,$135.00,$155.00,$150.00,$160.00,,,
Jan-12,$137.86,$140.00,$120.00,$135.00,$135.00,$145.00,$140.00,$150.00,,,
Dec-11,$132.86,$135.00,$110.00,$125.00,$125.00,$145.00,$140.00,$150.00,,,
Nov-11,$144.29,$145.00,$120.00,$135.00,$135.00,$155.00,$150.00,$170.00,,,
Oct-11,$184.29,$185.00,$160.00,$175.00,$175.00,$195.00,$190.00,$210.00,,,
Sep-11,$190.00,$185.00,$170.00,$185.00,$185.00,$195.00,$190.00,$220.00,,,
Aug-11,$194.29,$185.00,$180.00,$195.00,$195.00,$195.00,$190.00,$220.00,,,
Jul-11,$197.14,$185.00,$180.00,$205.00,$205.00,$195.00,$190.00,$220.00,,,
Jun-11,$185.71,$175.00,$170.00,$185.00,$185.00,$195.00,$190.00,$200.00,,,
May-11,$180.00,$175.00,$170.00,$175.00,$175.00,$185.00,$180.00,$200.00,,,
Apr-11,$182.86,$180.00,$175.00,$180.00,$180.00,$185.00,$180.00,$200.00,,,
Mar-11,$180.71,$180.00,$170.00,$175.00,$175.00,$185.00,$180.00,$200.00,,,
Feb-11,$170.71,$170.00,$160.00,$165.00,$165.00,$175.00,$170.00,$190.00,,,
Jan-11,$176.43,$180.00,$170.00,$175.00,$175.00,$175.00,$170.00,$190.00,,,
Dec-10,$176.43,$180.00,$170.00,$175.00,$175.00,$175.00,$170.00,$190.00,,,
Nov-10,$176.43,$180.00,$170.00,$175.00,$175.00,$175.00,$170.00,$190.00,,,
Oct-10,$162.14,$160.00,$160.00,$165.00,$165.00,$155.00,$150.00,$180.00,,,
Sep-10,$140.71,$140.00,$140.00,$145.00,$145.00,$135.00,$130.00,$150.00,,,
Aug-10,$120.71,$120.00,$120.00,$125.00,$125.00,$115.00,$110.00,$130.00,,,
Jul-10,$120.71,$120.00,$120.00,$125.00,$125.00,$115.00,$110.00,$130.00,,,
Jun-10,$125.71,$130.00,$125.00,$135.00,$135.00,$115.00,$110.00,$130.00,,,
May-10,$131.43,$135.00,$130.00,$140.00,$140.00,$130.00,$115.00,$130.00,,,
Apr-10,$142.86,$155.00,$150.00,$160.00,$160.00,$130.00,$115.00,$130.00,,,
Mar-10,$172.86,$185.00,$180.00,$190.00,$190.00,$160.00,$145.00,$160.00,,,
Feb-10,$147.86,$160.00,$155.00,$165.00,$165.00,$135.00,$120.00,$135.00,,,
Jan-10,$130.71,$130.00,$125.00,$135.00,$135.00,$135.00,$120.00,$135.00,,,
Dec-09,$100.71,$100.00,$95.00,$105.00,$105.00,$105.00,$90.00,$105.00,,,
Nov-09,$91.43,$80.00,$75.00,$85.00,$85.00,$105.00,$105.00,$105.00,,,
Oct-09,$91.43,$85.00,$85.00,$85.00,$85.00,$100.00,$100.00,$100.00,,,
Sep-09,$97.14,$95.00,$95.00,$95.00,$95.00,$100.00,$100.00,$100.00,,,
Aug-09,$92.14,$90.00,$90.00,$90.00,$90.00,$95.00,$95.00,$95.00,,,
Jul-09,$80.71,$85.00,$85.00,$85.00,$85.00,$75.00,$75.00,$75.00,,,
Jun-09,$68.57,$65.00,$60.00,$65.00,$65.00,$75.00,$75.00,$75.00,,,
