"ONP #6 HISTORICAL PRICES",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"DATE",,"Avg. Price","Chicago","New England","Buffalo","New York","Southeast","Southwest","Los Angeles","San Francisco","Pacific NW",,,,,
,,,,,,,,,,,,,,,,,
,Nov-14,,,,,,,,,,,,,,,,
,Oct-14,,,,,,,,,,,,,,,,
,Sep-14,,,,,,,,,,,,,,,,
,Aug-14,,,,,,,,,,,,,,,,
,Jul-14,,,,,,,,,,,,,,,,
,Jun-14,,,,,,,,,,,,,,,,
,May-14,,,,,,,,,,,,,,,,
,Apr-14,,,,,,,,,,,,,,,,
,Mar-14,,,,,,,,,,,,,,,,
,Feb-14,,,,,,,,,,,,,,,,
,Jan-14,,,,,,,,,,,,,,,,
,Dec-13,,$41.67,$15.00,$30.00,$25.00,$30.00,$25.00,$35.00,$75.00,$75.00,$65.00,,,,,
,Nov-13,,$42.78,$15.00,$30.00,$25.00,$30.00,$25.00,$35.00,$80.00,$80.00,$65.00,,,,,
,Oct-13,,$42.78,$15.00,$30.00,$25.00,$30.00,$25.00,$35.00,$80.00,$80.00,$65.00,,,,,
,Sep-13,,$42.78,$15.00,$30.00,$25.00,$30.00,$25.00,$35.00,$80.00,$80.00,$65.00," ",,,,
,Aug-13,,$46.67,$20.00,$30.00,$30.00,$30.00,$30.00,$40.00,$85.00,$85.00,$70.00,,,,,
,Jul-13,,$46.11,$15.00,$30.00,$30.00,$30.00,$30.00,$40.00,$85.00,$85.00,$70.00,,,,,
,Jun-13,,$47.78,$20.00,$30.00,$30.00,$30.00,$30.00,$40.00,$90.00,$90.00,$70.00,,,,,
,May-13,,$50.00,$20.00,$30.00,$30.00,$30.00,$30.00,$45.00,$95.00,$95.00,$75.00,,,,,
,Apr-13,,$53.33,$20.00,$35.00,$35.00,$35.00,$35.00,$45.00,$100.00,$100.00,$75.00,,,,,
,Mar-13,,$51.67,$20.00,$30.00,$30.00,$30.00,$35.00,$45.00,$100.00,$100.00,$75.00,,,,,
,Feb-13,,$50.00,$20.00,$25.00,$30.00,$25.00,$30.00,$45.00,$100.00,$100.00,$75.00,,,,,
,Jan-13,,$49.44,$20.00,$25.00,$30.00,$25.00,$30.00,$40.00,$100.00,$100.00,$75.00,,,,,
,Dec-12,,$47.78,$20.00,$25.00,$25.00,$25.00,$30.00,$30.00,$100.00,$100.00,$75.00,,,,,
,Nov-12,,$50.00,$20.00,$25.00,$25.00,$25.00,$30.00,$30.00,$110.00,$110.00,$75.00,,,,,
,Oct-12,,$46.67,$20.00,$25.00,$25.00,$25.00,$30.00,$30.00,$100.00,$100.00,$65.00,,,,,
,Sep-12,,$42.22,$20.00,$25.00,$25.00,$25.00,$30.00,$30.00,$85.00,$85.00,$55.00,,,,,
,Aug-12,,$57.22,$35.00,$40.00,$40.00,$40.00,$45.00,$45.00,$100.00,$100.00,$70.00,,,,,
,Jul-12,,$61.67,$35.00,$40.00,$40.00,$40.00,$45.00,$45.00,$120.00,$120.00,$70.00,,,,,
,Jun-12,,$61.67,$35.00,$40.00,$40.00,$40.00,$45.00,$45.00,$120.00,$120.00,$70.00,,,,,
,May-12,,$61.67,$35.00,$40.00,$40.00,$40.00,$45.00,$45.00,$120.00,$120.00,$70.00,,,,,
,Apr-12,,$61.67,$35.00,$40.00,$40.00,$40.00,$45.00,$45.00,$120.00,$120.00,$70.00,,,,,
,Mar-12,,$61.67,$35.00,$40.00,$40.00,$40.00,$45.00,$45.00,$120.00,$120.00,$70.00,,,,,
,Feb-12,,$61.67,$35.00,$40.00,$40.00,$40.00,$45.00,$45.00,$120.00,$120.00,$70.00,,,,,
,Jan-12,,$61.67,$35.00,$40.00,$40.00,$40.00,$45.00,$45.00,$120.00,$120.00,$70.00,,,,,
,Dec-11,,$63.89,$35.00,$40.00,$40.00,$40.00,$45.00,$45.00,$130.00,$130.00,$70.00,,,,,
,Nov-11,,$85.56,$65.00,$70.00,$70.00,$70.00,$75.00,$75.00,$135.00,$135.00,$75.00,,,,,
,Oct-11,,$95.56,$65.00,$70.00,$70.00,$70.00,$75.00,$75.00,$165.00,$165.00,$105.00,,,,,
,Sep-11,,$97.22,$65.00,$70.00,$70.00,$70.00,$75.00,$75.00,$170.00,$170.00,$110.00,,,,,
,Aug-11,,$97.22,$65.00,$70.00,$70.00,$70.00,$75.00,$75.00,$170.00,$170.00,$110.00,,,,,
,Jul-11,,$91.67,$60.00,$65.00,$65.00,$65.00,$70.00,$70.00,$165.00,$165.00,$100.00,,,,,
,Jun-11,,$91.67,$60.00,$65.00,$65.00,$65.00,$70.00,$70.00,$165.00,$165.00,$100.00,,,,,
,May-11,,$90.00,$60.00,$60.00,$60.00,$60.00,$70.00,$70.00,$165.00,$165.00,$100.00,,,,,
,Apr-11,,$90.00,$60.00,$60.00,$60.00,$60.00,$70.00,$70.00,$165.00,$165.00,$100.00,,,,,
,Mar-11,,$90.00,$60.00,$60.00,$60.00,$60.00,$70.00,$70.00,$165.00,$165.00,$100.00,,,,,
,Feb-11,,$81.11,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$155.00,$155.00,$100.00,,,,,
,Jan-11,,$76.11,$40.00,$50.00,$50.00,$50.00,$50.00,$50.00,$150.00,$150.00,$95.00,,,,,
,Dec-10,,$71.67,$40.00,$50.00,$50.00,$50.00,$40.00,$40.00,$140.00,$140.00,$95.00,,,,,
,Nov-10,,$69.44,$40.00,$50.00,$50.00,$50.00,$40.00,$40.00,$130.00,$130.00,$95.00,,,,,
,Oct-10,,$61.11,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,$115.00,$115.00,$80.00,,,,,
,Sep-10,,$57.78,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,$105.00,$105.00,$70.00,,,,,
,Aug-10,,$57.78,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,$105.00,$105.00,$70.00,,,,,
,Jul-10,,$60.00,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,$115.00,$115.00,$70.00,,,,,
,Jun-10,,$61.67,$40.00,$45.00,$45.00,$45.00,$40.00,$40.00,$115.00,$115.00,$70.00,,,,,
,May-10,,$62.78,$40.00,$45.00,$45.00,$45.00,$40.00,$40.00,$120.00,$120.00,$70.00,,,,,
,Apr-10,,$62.78,$40.00,$45.00,$45.00,$45.00,$40.00,$40.00,$120.00,$120.00,$70.00,,,,,
,Mar-10,,$62.78,$40.00,$45.00,$45.00,$45.00,$40.00,$40.00,$120.00,$120.00,$70.00,,,,,
,Feb-10,,$54.44,$35.00,$40.00,$40.00,$40.00,$35.00,$35.00,$105.00,$105.00,$55.00,,,,,
,Jan-10,,$54.44,$35.00,$40.00,$40.00,$40.00,$35.00,$35.00,$105.00,$105.00,$55.00,,,,,
,Dec-09,,$52.78,$35.00,$40.00,$40.00,$40.00,$35.00,$35.00,$95.00,$95.00,$60.00,,,,,
,Nov-09,,$51.67,$35.00,$40.00,$40.00,$40.00,$35.00,$35.00,$90.00,$90.00,$60.00,,,,,
,Oct-09,,$50.00,$35.00,$40.00,$40.00,$40.00,$35.00,$35.00,$85.00,$85.00,$55.00,,,,,
,Sep-09,,$50.00,$35.00,$40.00,$40.00,$40.00,$35.00,$35.00,$85.00,$85.00,$55.00,,,,,
,Aug-09,,$45.56,$30.00,$35.00,$35.00,$35.00,$30.00,$30.00,$80.00,$80.00,$55.00,,,,,
,Jul-09,,$40.56,$30.00,$30.00,$30.00,$30.00,$30.00,$30.00,$70.00,$70.00,$45.00,,,,,
,Jun-09,,$26.67,$10.00,$10.00,$10.00,$10.00,$15.00,$15.00,$65.00,$65.00,$40.00,,,,,
,May-09,,$26.67,$10.00,$10.00,$10.00,$10.00,$15.00,$15.00,$65.00,$65.00,$40.00,,,,,
,"Apr-09",,$25.00,$10.00,$10.00,$10.00,$10.00,$15.00,$15.00,$60.00,$60.00,$35.00,,,,,
,"Mar-09",,$25.00,$10.00,$10.00,$10.00,$10.00,$15.00,$15.00,$60.00,$60.00,$35.00,,,,,
,"Feb-09",,$20.56,$5.00,$5.00,$5.00,$5.00,$10.00,$10.00,$55.00,$55.00,$35.00,,,,,
,"Jan-09",,$20.56,$5.00,$5.00,$5.00,$5.00,$10.00,$10.00,$55.00,$55.00,$35.00,,,,," "
,Dec-08,,$21.67,$5.00,$5.00,$5.00,$5.00,$10.00,$10.00,$55.00,$55.00,$45.00,,,,," "
,Nov-08,,$24.44,$10.00,$5.00,$5.00,$5.00,$10.00,$10.00,$60.00,$60.00,$55.00,,,,," "
,Oct-08,,$83.89,$65.00,$60.00,$55.00,$60.00,$50.00,$50.00,$145.00,$145.00,$125.00,,,,," "
,Sep-08,,$112.78,$95.00,$90.00,$90.00,$110.00,$90.00,$90.00,$155.00,$155.00,$140.00,,,,," "
,Aug-08,,$116.11,$95.00,$95.00,$95.00,$110.00,$90.00,$90.00,$165.00,$165.00,$140.00,,,,," "
,Jul-08,,$107.22,$85.00,$85.00,$85.00,$95.00,$80.00,$80.00,$160.00,$160.00,$135.00,,,,," "
,Jun-08,,$107.22,$85.00,$85.00,$85.00,$95.00,$80.00,$80.00,$160.00,$160.00,$135.00,,,,," "
,May-08,,$103.89,$85.00,$85.00,$85.00,$95.00,$80.00,$80.00,$150.00,$150.00,$125.00,,,,," "
,Apr-08,,$103.89,$85.00,$85.00,$85.00,$95.00,$80.00,$80.00,$150.00,$150.00,$125.00,,,,," "
,Mar-08,,$102.78,$85.00,$85.00,$85.00,$95.00,$80.00,$80.00,$150.00,$140.00,$125.00,,,,," "
,Feb-08,,$97.78,$80.00,$80.00,$80.00,$85.00,$75.00,$75.00,$140.00,$140.00,$125.00,,,,," "
,"Jan-08",,$91.11,$80.00,$70.00,$70.00,$80.00,$75.00,$75.00,$130.00,$130.00,$110.00,,,,," "
,Dec-07,,$87.78,$75.00,$65.00,$65.00,$75.00,$70.00,$70.00,$130.00,$130.00,$110.00,,,,," "
,Nov-07,,$86.67,$75.00,$65.00,$65.00,$75.00,$70.00,$70.00,$125.00,$125.00,$110.00,,,,," "
,Oct-07,,$82.22,$75.00,$55.00,$55.00,$65.00,$60.00,$70.00,$125.00,$125.00,$110.00,,,,," "
,Sep-07,,$77.22,$75.00,$55.00,$55.00,$50.00,$60.00,$70.00,$115.00,$115.00,$100.00,,,,," "
,Aug-07,,$77.78,$75.00,$55.00,$55.00,$55.00,$60.00,$70.00,$115.00,$115.00,$100.00,,,,," "
,Jul-07,,$74.44,$75.00,$55.00,$55.00,$55.00,$60.00,$70.00,$105.00,$105.00,$90.00,,,,," "
,Jun-07,,$64.44,$65.00,$45.00,$45.00,$45.00,$50.00,$60.00,$95.00,$95.00,$80.00,,,,," "
,May-07,,$66.11,$65.00,$50.00,$50.00,$50.00,$50.00,$60.00,$95.00,$95.00,$80.00,,,,," "
,Apr-07,,$80.00,$70.00,$70.00,$70.00,$70.00,$70.00,$70.00,$105.00,$105.00,$90.00,,,,," "
,Mar-07,,$82.22,$70.00,$70.00,$70.00,$70.00,$70.00,$70.00,$110.00,$110.00,$100.00,,,,," "
,Feb-07,,$73.33,$65.00,$60.00,$60.00,$60.00,$60.00,$65.00,$100.00,$100.00,$90.00,,,,," "
,Jan-07,,$62.22,$60.00,$50.00,$50.00,$45.00,$50.00,$55.00,$80.00,$80.00,$90.00,,,,," "
,Dec-06,,$45.56,$50.00,$40.00,$40.00,$35.00,$40.00,$45.00,$50.00,$50.00,$60.00,,,,," "
