DATE,Avg. Price,Chicago,New York,Los Angeles
Dec-08,50.33,36.00,49.00,66.00
Nov-08,20.67,-3.00,25.00,40.00
Oct-08,120.67,101.00,119.00,142.00
Sep-08,144.67,125.00,143.00,166.00
Aug-08,156.67,137.00,155.00,178.00
Jul-08,163.00,142.00,162.00,185.00
Jun-08,155.00,135.00,155.00,175.00
May-08,155.00,135.00,155.00,175.00
Apr-08,185.00,,175.00,195.00
Mar-08,206.50,,198.00,215.00
Feb-08,196.00,,188.00,204.00
Jan-08,182.50,,177.00,188.00
Dec-07,174.00,,170.00,178.00
Nov-07,177.50,,172.00,183.00
Oct-07,177.50,,172.00,183.00
Sep-07,163.00,,157.00,169.00
Aug-07,156.50,,151.00,162.00
Jul-07,165.00,,160.00,170.00
Jun-07,141.00,,136.00,146.00
May-07,133.00,,128.00,138.00
Apr-07,140.00,,135.00,145.00
Mar-07,155.00,,150.00,160.00
Feb-07,148.00,,145.00,151.00
Jan-07,126.50,,120.00,133.00
Dec-06,112.50,,107.00,118.00
Nov-06,109.50,,104.00,115.00
Oct-06,111.00,,105.00,117.00
Sep-06,113.50,,107.00,120.00
Aug-06,120.50,,114.00,127.00
Jul-06,121.50,,116.00,127.00
Jun-06,114.00,,108.00,120.00
May-06,110.00,,105.00,115.00
Apr-06,103.00,,98.00,108.00
Mar-06,99.50,,92.00,107.00
Feb-06,97.50,,90.00,105.00
Jan-06,97.50,,90.00,105.00
Dec-05,97.50,,90.00,105.00
Nov-05,100.50,,95.00,106.00
Oct-05,107.00,,102.00,112.00
Sep-05,107.00,,102.00,112.00
Aug-05,112.00,,107.00,117.00
Jul-05,114.50,,110.00,119.00
Jun-05,113.50,,108.00,119.00
May-05,116.00,,110.00,122.00
Apr-05,121.50,,116.00,127.00
Mar-05,126.00,,120.00,132.00
Feb-05,125.50,,121.00,130.00
Jan-05,117.50,,115.00,120.00
Dec-04,114.50,,109.00,120.00
Nov-04,114.50,,109.00,120.00
Oct-04,113.50,,109.00,118.00
Sep-04,107.50,,103.00,112.00
Aug-04,107.50,,103.00,112.00
Jul-04,114.00,,108.00,120.00
Jun-04,114.00,,108.00,120.00
