"SOP HISTORICAL PRICES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"DATE",,"Avg. Price","Chicago","New England","Buffalo","New York","Southeast","Southwest","Los Angeles","San Francisco","Pacific NW",,
,,,,,,,,,,,,,,
,Nov-14,,,,,,,,,,,,,
,Oct-14,,$158.00,,,,$160.00,$145.00,$145.00,$180.00,,$160.00,,
,Sep-14,,$154.17,$140.00,,,$160.00,$145.00,$145.00,$180.00,,$155.00,,
,Aug-14,,$154.17,$140.00,,,$160.00,$145.00,$145.00,$180.00,,$155.00,,
,Jul-14,,$154.17,$140.00,,,$160.00,$145.00,$145.00,$180.00,,$155.00,,
,Jun-14,,$152.50,$135.00,,,$160.00,$140.00,$145.00,$180.00,,$155.00,,
,May-14,,$152.50,$135.00,,,$160.00,$140.00,$145.00,$180.00,,$155.00,,
,Apr-14,,$152.50,$135.00,,,$160.00,$140.00,$145.00,$180.00,,$155.00,,
,Mar-14,,$153.33,$135.00,,,$165.00,$145.00,$145.00,$180.00,,$150.00,,
,Feb-14,,$147.50,$135.00,,,$160.00,$140.00,$140.00,$170.00,,$140.00,,
,Jan-14,,$140.00,$125.00,,,$150.00,$135.00,$135.00,$160.00,,$135.00,,
,Dec-13,,$135.00,$125.00,,,$145.00,$125.00,$125.00,$155.00,,$135.00,,
,Nov-13,,$136.67,$125.00,,,$155.00,$125.00,$125.00,$155.00,,$135.00,,
,Oct-13,,$139.17,$125.00,,,$155.00,$130.00,$135.00,$155.00,,$135.00,,
,Sep-13,,$139.17,$125.00,,,$155.00,$130.00,$135.00,$155.00,,$135.00," ",
,Aug-13,,$144.17,$125.00," "," ",$155.00,$140.00,$145.00,$160.00,,$140.00,,
,Jul-13,,$143.33,$125.00," "," ",$145.00,$140.00,$145.00,$165.00,,$140.00,,
,Jun-13,,$144.17,$125.00," "," ",$145.00,$135.00,$140.00,$170.00,,$150.00,,
,May-13,,$150.00,$130.00," "," ",$150.00,$135.00,$145.00,$180.00," ",$160.00,,
,Apr-13,,$157.50,$140.00,,,$155.00,$145.00,$150.00,$185.00,,$170.00,,
,Mar-13,,$160.83,$145.00,,,$165.00,$145.00,$155.00,$180.00,,$175.00,,
,Feb-13,,$159.17,$140.00,,,$165.00,$145.00,$155.00,$180.00,,$170.00,,
,Jan-13,,$155.83,$135.00,,,$165.00,$145.00,$150.00,$180.00,,$160.00,,
,Dec-12,,$165.00,$145.00,$165.00,$175.00,$175.00,$140.00,$145.00,$190.00,$180.00,$170.00,,
,Nov-12,,$165.56,$145.00,$175.00,$175.00,$175.00,$140.00,$145.00,$190.00,$180.00,$165.00,,
,Oct-12,,$166.67,$145.00,$175.00,$175.00,$175.00,$145.00,$155.00,$190.00,$180.00,$160.00,,
,Sep-12,,$171.67,$165.00,$175.00,$175.00,$175.00,$165.00,$175.00,$185.00,$175.00,$155.00,,
,Aug-12,,$186.11,$175.00,$185.00,$185.00,$185.00,$185.00,$195.00,$195.00,$185.00,$185.00,,
,Jul-12,,$185.00,$175.00,$185.00,$185.00,$185.00,$185.00,$185.00,$195.00,$185.00,$185.00,,
,Jun-12,,$166.67,$155.00,$160.00,$160.00,$160.00,$165.00,$170.00,$185.00,$175.00,$170.00,,
,May-12,,$160.00,$145.00,$150.00,$150.00,$150.00,$155.00,$160.00,$185.00,$175.00,$170.00,,
,Apr-12,,$160.00,$145.00,$150.00,$150.00,$150.00,$155.00,$160.00,$185.00,$175.00,$170.00,,
,Mar-12,,$169.44,$150.00,$170.00,$170.00,$170.00,$165.00,$170.00,$185.00,$175.00,$170.00,,
,Feb-12,,$163.89,$145.00,$170.00,$170.00,$170.00,$140.00,$150.00,$185.00,$175.00,$170.00,,
,Jan-12,,$151.11,$130.00,$150.00,$150.00,$150.00,$130.00,$140.00,$175.00,$175.00,$160.00,,
,Dec-11,,$148.33,$125.00,$150.00,$150.00,$150.00,$130.00,$130.00,$165.00,$165.00,$170.00,,
,Nov-11,,$162.22,$150.00,$160.00,$160.00,$160.00,$150.00,$150.00,$175.00,$175.00,$180.00,,
,Oct-11,,$244.44,$250.00,$250.00,$250.00,$260.00,$250.00,$260.00,$235.00,$235.00,$210.00,,
,Sep-11,,$263.33,$270.00,$270.00,$270.00,$280.00,$270.00,$270.00,$255.00,$255.00,$230.00,,
,Aug-11,,$282.78,$290.00,$290.00,$290.00,$300.00,$300.00,$290.00,$270.00,$270.00,$245.00,,
,Jul-11,,$276.67,$275.00,$280.00,$280.00,$290.00,$290.00,$290.00,$270.00,$270.00,$245.00,,
,Jun-11,,$269.44,$260.00,$270.00,$270.00,$280.00,$280.00,$280.00,$270.00,$270.00,$245.00,,
,May-11,,$269.44,$260.00,$270.00,$270.00,$280.00,$280.00,$280.00,$270.00,$270.00,$245.00,,
,Apr-11,,$256.11,$240.00,$270.00,$270.00,$270.00,$260.00,$260.00,$255.00,$255.00,$225.00,,
,Mar-11,,$235.00,$210.00,$250.00,$250.00,$250.00,$220.00,$230.00,$245.00,$245.00,$215.00,,
,Feb-11,,$227.22,$210.00,$230.00,$230.00,$230.00,$220.00,$220.00,$245.00,$245.00,$215.00,,
,Jan-11,,$214.44,$200.00,$215.00,$215.00,$215.00,$200.00,$195.00,$240.00,$240.00,$210.00,,
,Dec-10,,$214.44,$200.00,$210.00,$210.00,$210.00,$200.00,$195.00,$240.00,$240.00,$225.00,,
,Nov-10,,$217.78,$210.00,$210.00,$210.00,$210.00,$210.00,$205.00,$240.00,$240.00,$225.00,,
,Oct-10,,$218.33,$220.00,$220.00,$220.00,$220.00,$220.00,$205.00,$225.00,$225.00,$210.00,,
,Sep-10,,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$225.00,$225.00,$210.00,,
,Aug-10,"201008",$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$225.00,$225.00,$210.00,,
,Jul-10,"201007",$205.00,$210.00,$200.00,$200.00,$200.00,$205.00,$200.00,$215.00,$215.00,$200.00,,
,Jun-10,"201006",$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$205.00,$205.00,$190.00,,
,May-10,"201005",$200.56,$205.00,$200.00,$200.00,$200.00,$200.00,$200.00,$205.00,$205.00,$190.00,,
,Apr-10,"201004",$200.56,$205.00,$200.00,$200.00,$200.00,$200.00,$200.00,$205.00,$205.00,$190.00,,
,Mar-10,"201003",$213.89,$220.00,$215.00,$215.00,$215.00,$215.00,$215.00,$215.00,$215.00,$200.00,,
,Feb-10,"201002",$213.89,$220.00,$215.00,$215.00,$215.00,$215.00,$215.00,$215.00,$215.00,$200.00,,
,Jan-10,"201001",$200.56,$205.00,$200.00,$200.00,$200.00,$200.00,$200.00,$205.00,$205.00,$190.00,,
,Dec-09,,$183.89,$185.00,$180.00,$180.00,$180.00,$180.00,$180.00,$195.00,$195.00,$180.00,,
,Nov-09,,$173.89,$175.00,$170.00,$170.00,$170.00,$170.00,$170.00,$185.00,$185.00,$170.00,,
,Oct-09,,$161.11,$155.00,$155.00,$155.00,$155.00,$160.00,$160.00,$175.00,$175.00,$160.00,,
,Sep-09,,$148.89,$135.00,$145.00,$145.00,$145.00,$145.00,$145.00,$165.00,$165.00,$150.00,,
,Aug-09,,$137.78,$125.00,$135.00,$135.00,$135.00,$130.00,$130.00,$155.00,$155.00,$140.00,,
,Jul-09,,$126.11,$115.00,$125.00,$125.00,$125.00,$120.00,$120.00,$140.00,$140.00,$125.00,,
,Jun-09,,$107.78,$95.00,$110.00,$110.00,$110.00,$100.00,$100.00,$125.00,$125.00,$95.00,,
,May-09,,$96.67,$90.00,$100.00,$100.00,$100.00,$90.00,$90.00,$110.00,$110.00,$80.00,,
,"Apr-09",,$100.56,$95.00,$100.00,$100.00,$100.00,$95.00,$95.00,$110.00,$110.00,$100.00,,
,"Mar-09",,$102.22,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$110.00,$110.00,$100.00,,
,"Feb-09",,$103.33,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$110.00,$110.00,$110.00,,
,"Jan-09",,$98.33,$100.00,$95.00,$95.00,$95.00,$100.00,$100.00,$100.00,$100.00,$100.00," ",
,Dec-08,,$103.33,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$130.00,$100.00,$100.00," ",
,Nov-08,,$158.33,$150.00,$165.00,$165.00,$165.00,$165.00,$165.00,$170.00,$140.00,$140.00," ",
,Oct-08,,$206.67,$200.00,$215.00,$215.00,$215.00,$200.00,$190.00,$210.00,$210.00,$205.00," ",
,Sep-08,,$222.22,$210.00,$235.00,$235.00,$235.00,$220.00,$210.00,$220.00,$220.00,$215.00," ",
,Aug-08,,$219.44,$205.00,$230.00,$230.00,$230.00,$210.00,$200.00,$225.00,$225.00,$220.00," ",
,Jul-08,,$218.33,$205.00,$225.00,$225.00,$225.00,$200.00,$200.00,$230.00,$230.00,$225.00," ",
,Jun-08,,$217.22,$205.00,$215.00,$215.00,$215.00,$200.00,$200.00,$235.00,$235.00,$235.00," ",
,May-08,,$230.56,$220.00,$225.00,$225.00,$225.00,$215.00,$215.00,$250.00,$250.00,$250.00," ",
,Apr-08,,$238.89,$230.00,$235.00,$235.00,$235.00,$225.00,$225.00,$255.00,$255.00,$255.00," ",
,Mar-08,,$238.89,$230.00,$235.00,$235.00,$235.00,$225.00,$225.00,$255.00,$255.00,$255.00," ",
,Feb-08,,$233.89,$225.00,$235.00,$235.00,$235.00,$220.00,$220.00,$245.00,$245.00,$245.00," ",
,"Jan-08",,$223.89,$215.00,$225.00,$225.00,$225.00,$210.00,$210.00,$235.00,$235.00,$235.00," ",
,Dec-07,,$211.67,$195.00,$215.00,$215.00,$215.00,$195.00,$195.00,$225.00,$225.00,$225.00," ",
,Nov-07,,$192.78,$175.00,$185.00,$190.00,$185.00,$170.00,$170.00,$220.00,$220.00,$220.00," ",
,Oct-07,,$196.11,$185.00,$195.00,$200.00,$195.00,$180.00,$180.00,$210.00,$210.00,$210.00," ",
,Sep-07,,$192.22,$185.00,$195.00,$195.00,$195.00,$180.00,$180.00,$200.00,$200.00,$200.00," ",
,Aug-07,,$192.22,$185.00,$195.00,$195.00,$195.00,$180.00,$180.00,$200.00,$200.00,$200.00," ",
,Jul-07,,$181.67,$170.00,$185.00,$185.00,$185.00,$170.00,$170.00,$190.00,$190.00,$190.00," ",
,Jun-07,,$169.44,$160.00,$180.00,$175.00,$175.00,$150.00,$160.00,$175.00,$175.00,$175.00," ",
,May-07,,$167.78,$160.00,$175.00,$170.00,$170.00,$150.00,$160.00,$175.00,$175.00,$175.00," ",
,Apr-07,,$170.00,$160.00,$175.00,$170.00,$170.00,$160.00,$170.00,$175.00,$175.00,$175.00," ",
,Mar-07,,$167.78,$160.00,$170.00,$160.00,$160.00,$160.00,$160.00,$180.00,$180.00,$180.00," ",
,Feb-07,,$150.00,$145.00,$145.00,$145.00,$145.00,$145.00,$145.00,$160.00,$160.00,$160.00," ",
,Jan-07,,$140.00,$135.00,$135.00,$135.00,$135.00,$135.00,$135.00,$150.00,$150.00,$150.00," ",
,Dec-06,,$133.33,$125.00,$135.00,$135.00,$135.00,$125.00,$125.00,$140.00,$140.00,$140.00," ",
,Nov-06,,$130.00,$125.00,$130.00,$130.00,$130.00,$125.00,$125.00,$135.00,$135.00,$135.00," ",
,Oct-06,,$130.00,$125.00,$130.00,$130.00,$130.00,$125.00,$125.00,$135.00,$135.00,$135.00," ",
