DATE,Avg. Price,Chicago,New England,Buffalo,New York,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW
Oct-14,230.00,220.00,,,245.00,215.00,235.00,245.00,,220.00
Sep-14,229.17,220.00,,,240.00,215.00,235.00,245.00,,220.00
Aug-14,229.17,220.00,,,240.00,215.00,235.00,245.00,,220.00
Jul-14,228.33,210.00,,,245.00,215.00,235.00,245.00,,220.00
Jun-14,228.33,210.00,,,245.00,215.00,235.00,245.00,,220.00
May-14,228.33,210.00,,,245.00,215.00,235.00,245.00,,220.00
Apr-14,230.00,210.00,,,255.00,215.00,235.00,245.00,,220.00
Mar-14,231.67,210.00,,,265.00,215.00,235.00,245.00,,220.00
Feb-14,231.67,210.00,,,265.00,215.00,235.00,245.00,,220.00
Jan-14,226.67,210.00,,,255.00,215.00,225.00,245.00,,210.00
Dec-13,225.00,210.00,,,255.00,215.00,225.00,235.00,,210.00
Nov-13,226.67,210.00,,,265.00,215.00,225.00,235.00,,210.00
Oct-13,226.67,210.00,,,265.00,215.00,225.00,235.00,,210.00
Sep-13,225.83,210.00,,,265.00,215.00,225.00,235.00,,205.00
Aug-13,222.50,210.00,,,245.00,215.00,225.00,235.00,,205.00
Jul-13,220.00,210.00,,,230.00,215.00,225.00,235.00,,205.00
Jun-13,221.67,210.00,,,230.00,215.00,225.00,235.00,,215.00
May-13,222.50,210.00,,,230.00,215.00,225.00,240.00,,215.00
Apr-13,224.17,215.00,,,230.00,215.00,225.00,245.00,,215.00
Mar-13,223.33,215.00,,,230.00,210.00,225.00,245.00,,215.00
Feb-13,219.17,200.00,,,225.00,210.00,225.00,240.00,,215.00
Jan-13,219.17,200.00,,,225.00,210.00,220.00,245.00,,215.00
Dec-12,223.89,210.00,220.00,220.00,220.00,220.00,240.00,235.00,220.00,230.00
Nov-12,223.33,210.00,220.00,220.00,220.00,220.00,240.00,235.00,215.00,230.00
Oct-12,226.67,220.00,220.00,220.00,220.00,230.00,250.00,235.00,215.00,230.00
Sep-12,234.44,230.00,230.00,230.00,230.00,240.00,260.00,240.00,225.00,225.00
Aug-12,251.11,250.00,250.00,250.00,250.00,260.00,280.00,250.00,235.00,235.00
Jul-12,254.44,250.00,250.00,250.00,250.00,260.00,280.00,260.00,245.00,245.00
Jun-12,257.78,250.00,250.00,250.00,250.00,260.00,280.00,270.00,255.00,255.00
May-12,268.89,260.00,260.00,260.00,260.00,280.00,290.00,280.00,265.00,265.00
Apr-12,273.89,260.00,275.00,275.00,275.00,280.00,290.00,280.00,265.00,265.00
Mar-12,273.89,260.00,275.00,275.00,275.00,280.00,290.00,280.00,265.00,265.00
Feb-12,275.00,270.00,275.00,275.00,275.00,280.00,290.00,280.00,265.00,265.00
Jan-12,263.33,260.00,260.00,260.00,275.00,270.00,270.00,270.00,255.00,250.00
Dec-11,267.78,260.00,275.00,275.00,275.00,270.00,270.00,270.00,255.00,260.00
Nov-11,277.22,280.00,285.00,285.00,285.00,280.00,280.00,275.00,260.00,265.00
Oct-11,317.22,320.00,325.00,325.00,325.00,320.00,320.00,315.00,300.00,305.00
Sep-11,333.89,340.00,345.00,345.00,345.00,340.00,340.00,325.00,310.00,315.00
Aug-11,350.00,360.00,365.00,365.00,365.00,350.00,350.00,340.00,325.00,330.00
Jul-11,345.56,350.00,355.00,355.00,355.00,350.00,350.00,340.00,325.00,330.00
Jun-11,339.44,340.00,350.00,350.00,350.00,340.00,340.00,340.00,325.00,320.00
May-11,332.78,330.00,340.00,340.00,340.00,330.00,330.00,340.00,325.00,320.00
Apr-11,315.00,300.00,310.00,310.00,310.00,310.00,310.00,340.00,325.00,320.00
Mar-11,316.67,300.00,310.00,310.00,310.00,310.00,310.00,340.00,340.00,320.00
Feb-11,316.67,300.00,310.00,310.00,310.00,310.00,310.00,340.00,340.00,320.00
Jan-11,316.67,300.00,310.00,310.00,310.00,310.00,310.00,340.00,340.00,320.00
Dec-10,323.33,310.00,320.00,320.00,320.00,310.00,310.00,340.00,340.00,340.00
Nov-10,336.67,330.00,340.00,340.00,340.00,330.00,330.00,340.00,340.00,340.00
Oct-10,336.67,340.00,340.00,340.00,340.00,340.00,340.00,330.00,330.00,330.00
Sep-10,326.67,330.00,330.00,330.00,330.00,330.00,330.00,320.00,320.00,320.00
Aug-10,311.67,315.00,315.00,315.00,315.00,315.00,315.00,305.00,305.00,305.00
Jul-10,287.22,285.00,285.00,285.00,285.00,285.00,275.00,295.00,295.00,295.00
Jun-10,283.89,285.00,285.00,285.00,285.00,285.00,275.00,285.00,285.00,285.00
May-10,283.89,285.00,285.00,285.00,285.00,285.00,275.00,285.00,285.00,285.00
Apr-10,280.56,285.00,285.00,285.00,285.00,285.00,275.00,275.00,275.00,275.00
Mar-10,297.22,310.00,310.00,310.00,310.00,310.00,300.00,275.00,275.00,275.00
Feb-10,288.33,300.00,300.00,300.00,300.00,300.00,300.00,265.00,265.00,265.00
Jan-10,281.67,290.00,290.00,290.00,290.00,290.00,290.00,265.00,265.00,265.00
Dec-09,265.00,270.00,270.00,270.00,270.00,270.00,270.00,255.00,255.00,255.00
Nov-09,258.33,260.00,260.00,260.00,260.00,260.00,260.00,255.00,255.00,255.00
Oct-09,241.67,240.00,240.00,240.00,240.00,240.00,240.00,245.00,245.00,245.00
Sep-09,231.11,240.00,230.00,230.00,230.00,230.00,230.00,230.00,230.00,230.00
Aug-09,207.78,200.00,210.00,210.00,210.00,200.00,210.00,210.00,210.00,210.00
Jul-09,196.11,190.00,200.00,200.00,200.00,190.00,200.00,195.00,195.00,195.00
Jun-09,176.11,170.00,180.00,180.00,180.00,170.00,180.00,175.00,175.00,175.00
May-09,166.11,160.00,170.00,170.00,170.00,160.00,170.00,165.00,165.00,165.00
Apr-09,166.11,160.00,170.00,170.00,170.00,160.00,170.00,165.00,165.00,165.00
Mar-09,174.44,160.00,180.00,180.00,180.00,160.00,170.00,180.00,180.00,180.00
Feb-09,193.33,180.00,200.00,200.00,200.00,180.00,180.00,200.00,200.00,200.00
Jan-09,200.00,180.00,200.00,200.00,200.00,180.00,180.00,220.00,220.00,220.00
Dec-08,230.56,210.00,230.00,230.00,230.00,215.00,210.00,250.00,250.00,250.00
Nov-08,282.78,260.00,290.00,290.00,290.00,275.00,270.00,290.00,290.00,290.00
Oct-08,320.56,310.00,330.00,330.00,330.00,315.00,310.00,320.00,320.00,320.00
Sep-08,327.22,330.00,330.00,330.00,330.00,315.00,320.00,330.00,330.00,330.00
Aug-08,327.22,330.00,330.00,330.00,330.00,315.00,320.00,330.00,330.00,330.00
Jul-08,318.33,310.00,310.00,310.00,310.00,315.00,320.00,330.00,330.00,330.00
Jun-08,318.33,310.00,310.00,310.00,310.00,315.00,320.00,330.00,330.00,330.00
May-08,318.33,310.00,310.00,310.00,310.00,315.00,320.00,330.00,330.00,330.00
Apr-08,323.33,320.00,320.00,325.00,320.00,315.00,320.00,330.00,330.00,330.00
Mar-08,323.33,320.00,320.00,325.00,320.00,315.00,320.00,330.00,330.00,330.00
Feb-08,317.78,320.00,315.00,320.00,315.00,315.00,315.00,320.00,320.00,320.00
Jan-08,307.78,310.00,315.00,315.00,315.00,285.00,300.00,310.00,310.00,310.00
Dec-07,302.78,300.00,310.00,310.00,310.00,285.00,280.00,310.00,310.00,310.00
Nov-07,297.22,300.00,300.00,300.00,300.00,285.00,290.00,300.00,300.00,300.00
Oct-07,286.11,280.00,290.00,290.00,290.00,275.00,280.00,290.00,290.00,290.00
Sep-07,282.78,280.00,290.00,290.00,290.00,275.00,280.00,280.00,280.00,280.00
Aug-07,276.11,270.00,280.00,280.00,280.00,265.00,270.00,280.00,280.00,280.00
Jul-07,265.00,260.00,270.00,270.00,270.00,265.00,270.00,260.00,260.00,260.00
Jun-07,259.44,250.00,270.00,270.00,270.00,245.00,250.00,260.00,260.00,260.00
May-07,256.11,250.00,260.00,260.00,260.00,245.00,250.00,260.00,260.00,260.00
Apr-07,254.44,250.00,255.00,255.00,255.00,245.00,250.00,260.00,260.00,260.00
Mar-07,256.11,250.00,255.00,255.00,255.00,245.00,250.00,265.00,265.00,265.00
Feb-07,245.56,235.00,245.00,245.00,245.00,235.00,240.00,255.00,255.00,255.00
Jan-07,239.44,225.00,240.00,240.00,240.00,235.00,240.00,245.00,245.00,245.00
Dec-06,233.89,205.00,240.00,240.00,240.00,235.00,240.00,235.00,235.00,235.00
Nov-06,228.89,205.00,235.00,235.00,235.00,235.00,240.00,225.00,225.00,225.00
Oct-06,223.33,205.00,235.00,235.00,235.00,220.00,235.00,215.00,215.00,215.00
Sep-06,217.22,200.00,230.00,230.00,230.00,200.00,220.00,215.00,215.00,215.00
Aug-06,210.56,200.00,210.00,210.00,210.00,200.00,220.00,215.00,215.00,215.00
Jul-06,198.33,195.00,185.00,185.00,185.00,200.00,220.00,205.00,205.00,205.00
Jun-06,188.33,185.00,175.00,175.00,175.00,190.00,210.00,195.00,195.00,195.00
May-06,188.89,190.00,175.00,175.00,175.00,190.00,210.00,195.00,195.00,195.00
Apr-06,188.89,190.00,175.00,175.00,175.00,190.00,210.00,195.00,195.00,195.00
Mar-06,188.89,190.00,175.00,175.00,175.00,190.00,210.00,195.00,195.00,195.00
Feb-06,188.89,190.00,175.00,175.00,175.00,190.00,210.00,195.00,195.00,195.00
Jan-06,192.22,190.00,185.00,185.00,185.00,190.00,210.00,195.00,195.00,195.00
Dec-05,192.22,190.00,185.00,185.00,185.00,190.00,210.00,195.00,195.00,195.00
Nov-05,192.22,190.00,185.00,185.00,185.00,190.00,210.00,195.00,195.00,195.00
Oct-05,193.89,190.00,190.00,190.00,190.00,190.00,210.00,195.00,195.00,195.00
Sep-05,193.89,190.00,190.00,190.00,190.00,190.00,210.00,195.00,195.00,195.00
Aug-05,193.89,190.00,190.00,190.00,190.00,190.00,210.00,195.00,195.00,195.00
Jul-05,197.22,190.00,200.00,200.00,200.00,190.00,210.00,195.00,195.00,195.00
Jun-05,193.89,190.00,190.00,190.00,190.00,190.00,210.00,195.00,195.00,195.00
May-05,197.22,190.00,190.00,190.00,190.00,190.00,210.00,205.00,205.00,205.00
Apr-05,207.22,190.00,200.00,200.00,200.00,190.00,210.00,225.00,225.00,225.00
Mar-05,207.22,190.00,200.00,200.00,200.00,190.00,210.00,225.00,225.00,225.00
Feb-05,210.00,195.00,205.00,205.00,205.00,195.00,210.00,225.00,225.00,225.00
Jan-05,210.00,195.00,205.00,205.00,205.00,195.00,210.00,225.00,225.00,225.00
Dec-04,210.00,195.00,205.00,205.00,205.00,195.00,210.00,225.00,225.00,225.00
Nov-04,208.33,195.00,205.00,205.00,205.00,195.00,210.00,220.00,220.00,220.00
Oct-04,208.33,195.00,210.00,210.00,210.00,195.00,210.00,215.00,215.00,215.00
Sep-04,217.22,200.00,215.00,215.00,215.00,195.00,210.00,235.00,235.00,235.00
Aug-04,212.22,200.00,200.00,200.00,200.00,195.00,210.00,235.00,235.00,235.00
Jul-04,197.22,185.00,185.00,185.00,185.00,180.00,195.00,220.00,220.00,220.00
Jun-04,192.22,180.00,180.00,180.00,180.00,175.00,190.00,215.00,215.00,215.00
May-04,192.22,180.00,180.00,180.00,180.00,175.00,190.00,215.00,215.00,215.00
Apr-04,195.00,185.00,185.00,185.00,185.00,180.00,190.00,215.00,215.00,215.00
Mar-04,195.00,185.00,185.00,185.00,185.00,180.00,190.00,215.00,215.00,215.00
Feb-04,195.00,185.00,185.00,185.00,185.00,180.00,190.00,215.00,215.00,215.00
Jan-04,196.67,185.00,190.00,190.00,190.00,180.00,190.00,215.00,215.00,215.00
Dec-03,196.11,185.00,190.00,190.00,190.00,175.00,190.00,215.00,215.00,215.00
Nov-03,191.67,175.00,180.00,180.00,180.00,175.00,190.00,215.00,215.00,215.00
Oct-03,185.00,175.00,175.00,175.00,175.00,175.00,190.00,200.00,200.00,200.00
Sep-03,180.00,170.00,170.00,170.00,170.00,170.00,185.00,195.00,195.00,195.00 
Aug-03,178.89,170.00,170.00,170.00,170.00,170.00,175.00,195.00,195.00,195.00 
Jul-03,178.89,170.00,170.00,170.00,170.00,170.00,175.00,195.00,195.00,195.00 
Jun-03,178.89,170.00,170.00,170.00,170.00,170.00,175.00,195.00,195.00,195.00 
May-03,178.89,170.00,170.00,170.00,170.00,170.00,175.00,195.00,195.00,195.00 
Apr-03,178.89,170.00,170.00,170.00,170.00,170.00,175.00,195.00,195.00,195.00 
Mar-03,178.89,170.00,170.00,170.00,170.00,170.00,175.00,195.00,195.00,195.00 
Feb-03,178.89,170.00,170.00,170.00,170.00,170.00,175.00,195.00,195.00,195.00 
Jan-03,178.89,170.00,170.00,170.00,170.00,170.00,175.00,195.00,195.00,195.00 
Dec-02,178.89,170.00,170.00,170.00,170.00,170.00,175.00,195.00,195.00,195.00 
Nov-02,168.89,160.00,160.00,160.00,160.00,160.00,165.00,185.00,185.00,185.00 
Oct-02,165.00,150.00,150.00,150.00,160.00,155.00,165.00,185.00,185.00,185.00 
Sep-02,165.00,150.00,150.00,150.00,160.00,155.00,165.00,185.00,185.00,185.00 
Aug-02,159.44,140.00,150.00,150.00,160.00,145.00,165.00,175.00,175.00,175.00 
Jul-02,155.00,140.00,150.00,150.00,150.00,145.00,165.00,165.00,165.00,165.00 
Jun-02,140.00,125.00,135.00,135.00,135.00,130.00,150.00,150.00,150.00,150.00 
May-02,140.00,125.00,135.00,135.00,135.00,130.00,150.00,150.00,150.00,150.00 
Apr-02,140.00,125.00,135.00,135.00,135.00,130.00,150.00,150.00,150.00,150.00 
Mar-02,135.00,110.00,135.00,135.00,135.00,130.00,150.00,140.00,140.00,140.00 
Feb-02,131.67,110.00,125.00,125.00,125.00,130.00,150.00,140.00,140.00,140.00 
Jan-02,129.44,110.00,125.00,125.00,125.00,130.00,130.00,140.00,140.00,140.00 
Dec-01,136.67,110.00,130.00,130.00,130.00,140.00,140.00,150.00,150.00,150.00 
Nov-01,136.67,110.00,130.00,130.00,130.00,140.00,140.00,150.00,150.00,150.00 
Oct-01,136.67,110.00,130.00,130.00,130.00,140.00,140.00,150.00,150.00,150.00 
Sep-01,136.67,110.00,130.00,130.00,130.00,140.00,140.00,150.00,150.00,150.00 
Aug-01,123.89,105.00,125.00,125.00,125.00,130.00,130.00,125.00,125.00,125.00 
Jul-01,125.56,105.00,130.00,130.00,130.00,130.00,130.00,125.00,125.00,125.00 
Jun-01,125.56,105.00,130.00,130.00,130.00,130.00,130.00,125.00,125.00,125.00 
May-01,135.56,125.00,135.00,135.00,135.00,135.00,135.00,140.00,140.00,140.00 
Apr-01,155.56,135.00,145.00,145.00,145.00,145.00,145.00,180.00,180.00,180.00 
Mar-01,172.22,150.00,160.00,160.00,160.00,160.00,160.00,200.00,200.00,200.00 
Feb-01,192.22,170.00,180.00,180.00,180.00,180.00,180.00,220.00,220.00,220.00 
Jan-01,192.22,170.00,180.00,180.00,180.00,180.00,180.00,220.00,220.00,220.00 
Dec-00,192.22,170.00,180.00,180.00,180.00,180.00,180.00,220.00,220.00,220.00 
Nov-00,193.33,180.00,180.00,180.00,180.00,180.00,180.00,220.00,220.00,220.00 
Oct-00,186.67,180.00,180.00,180.00,180.00,180.00,180.00,200.00,200.00,200.00 
Sep-00,173.33,170.00,170.00,170.00,170.00,170.00,170.00,180.00,180.00,180.00 
Aug-00,183.33,180.00,180.00,180.00,180.00,180.00,180.00,190.00,190.00,190.00 
Jul-00,203.33,200.00,200.00,200.00,200.00,200.00,200.00,210.00,210.00,210.00 
Jun-00,215.00,210.00,210.00,210.00,210.00,210.00,210.00,225.00,225.00,225.00 
May-00,225.00,220.00,220.00,220.00,220.00,220.00,220.00,235.00,235.00,235.00 
Apr-00,248.33,240.00,240.00,240.00,240.00,240.00,240.00,265.00,265.00,265.00 
