"UNPRINTED BLEACHED SULFATE HISTORICAL PRICES",,,,,,,,,,," ",,
,,,,,,,,,,,,,
,"DATE",,"Avg. Price","East","Midwest","Southeast","Southwest","Los Angeles","San Francisco","Pacific NW"," "," ",
,,,,,,,,,,,,,
,Nov-14,,,,,,,,,,,,
,Oct-14,,$304.00,$330.00,$300.00,$310.00,$300.00,$280.00,,,,,
,Sep-14,,$304.00,$330.00,$300.00,$310.00,$300.00,$280.00,,,,,
,Aug-14,,$297.00,$320.00,$290.00,$300.00,$290.00,$285.00,,,,,
,Jul-14,,$295.00,$320.00,$280.00,$300.00,$290.00,$285.00,,,,,
,Jun-14,,$295.00,$320.00,$280.00,$300.00,$290.00,$285.00,,,,,
,May-14,,$295.00,$320.00,$280.00,$300.00,$290.00,$285.00,,,,,
,Apr-14,,$295.00,$320.00,$280.00,$300.00,$290.00,$285.00,,,,,
,Mar-14,,$295.00,$320.00,$280.00,$300.00,$290.00,$285.00,,,,,
,Feb-14,,$289.00,$310.00,$280.00,$290.00,$280.00,$285.00,,,,,
,Jan-14,,$289.00,$310.00,$280.00,$290.00,$280.00,$285.00,,,,,
,Dec-13,,$289.00,$310.00,$280.00,$290.00,$280.00,$285.00,,,,,
,Nov-13,,$289.00,$310.00,$280.00,$290.00,$280.00,$285.00,,,,,
,Oct-13,,$289.00,$310.00,$280.00,$290.00,$280.00,$285.00,,,,,
,Sep-13,,$285.00,$290.00,$280.00,$290.00,$280.00,$285.00,,,,," "
,Aug-13,,$285.00,$290.00,$280.00,$290.00,$280.00,$285.00," "," "," ",,
,Jul-13,,$286.00,$290.00,$280.00,$290.00,$280.00,$290.00," "," "," ",,
,Jun-13,,$288.00,$290.00,$280.00,$290.00,$290.00,$290.00," "," "," ",,
,May-13,,$287.00,$290.00,$280.00,$290.00,$290.00,$285.00," "," "," ",,
,Apr-13,,$287.00,$290.00,$280.00,$290.00,$290.00,$285.00,,,,,
,Mar-13,,$287.00,$290.00,$280.00,$290.00,$290.00,$285.00,,,,,
,Feb-13,,$279.00,$280.00,$270.00,$280.00,$290.00,$275.00,,,,,
,Jan-13,,$279.00,$280.00,$270.00,$280.00,$290.00,$275.00,,,,,
,Dec-12,,$276.67,$280.00,$270.00,$280.00,$290.00,$270.00,$270.00,,,,
,Nov-12,,$302.86,$315.00,$305.00,$295.00,$305.00,$300.00,$300.00,$300.00,,,
,Oct-12,,$302.86,$315.00,$305.00,$295.00,$305.00,$300.00,$300.00,$300.00,,,
,Sep-12,,$308.57,$325.00,$315.00,$305.00,$315.00,$300.00,$300.00,$300.00,,,
,Aug-12,,$323.57,$340.00,$330.00,$320.00,$330.00,$315.00,$315.00,$315.00,,,
,Jul-12,,$323.57,$340.00,$330.00,$320.00,$330.00,$315.00,$315.00,$315.00,,,
,Jun-12,,$323.57,$340.00,$330.00,$320.00,$330.00,$315.00,$315.00,$315.00,,,
,May-12,,$331.43,$350.00,$330.00,$320.00,$330.00,$330.00,$330.00,$330.00,,,
,Apr-12,,$332.86,$350.00,$340.00,$320.00,$330.00,$330.00,$330.00,$330.00,,,
,Mar-12,,$332.86,$350.00,$340.00,$320.00,$330.00,$330.00,$330.00,$330.00,,,
,Feb-12,,$332.86,$350.00,$340.00,$320.00,$330.00,$330.00,$330.00,$330.00,,,
,Jan-12,,$332.86,$350.00,$340.00,$320.00,$330.00,$330.00,$330.00,$330.00,,,
,Dec-11,,$334.29,$360.00,$340.00,$320.00,$330.00,$330.00,$330.00,$330.00,,,
,Nov-11,,$354.29,$380.00,$360.00,$340.00,$350.00,$350.00,$350.00,$350.00,,,
,Oct-11,,$372.86,$400.00,$370.00,$360.00,$370.00,$370.00,$370.00,$370.00,,,
,Sep-11,,$396.43,$430.00,$400.00,$390.00,$400.00,$385.00,$385.00,$385.00,,,
,Aug-11,,$416.43,$450.00,$420.00,$410.00,$420.00,$405.00,$405.00,$405.00,,,
,Jul-11,,$420.71,$450.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Jun-11,,$420.71,$450.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,May-11,,$420.71,$450.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Apr-11,,$420.71,$450.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Mar-11,,$420.71,$450.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Feb-11,,$417.86,$430.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Jan-11,,$417.86,$430.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Dec-10,,$417.86,$430.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Nov-10,,$417.86,$430.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Oct-10,,$417.86,$430.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Sep-10,,$417.86,$430.00,$420.00,$410.00,$420.00,$415.00,$415.00,$415.00,,,
,Aug-10,,$427.86,$440.00,$430.00,$420.00,$430.00,$425.00,$425.00,$425.00,,,
,Jul-10,,$427.86,$440.00,$430.00,$420.00,$430.00,$425.00,$425.00,$425.00,,,
,Jun-10,,$444.29,$450.00,$440.00,$430.00,$440.00,$450.00,$450.00,$450.00,,,
,May-10,,$461.43,$480.00,$470.00,$460.00,$470.00,$450.00,$450.00,$450.00,,,
,Apr-10,,$432.14,$440.00,$430.00,$420.00,$430.00,$435.00,$435.00,$435.00,,,
,Mar-10,,$397.14,$405.00,$395.00,$385.00,$395.00,$400.00,$400.00,$400.00,,,
,Feb-10,,$367.14,$375.00,$365.00,$355.00,$365.00,$370.00,$370.00,$370.00,,,
,Jan-10,,$337.14,$345.00,$335.00,$325.00,$335.00,$340.00,$340.00,$340.00,,,
,Dec-09,,$327.14,$335.00,$325.00,$315.00,$325.00,$330.00,$330.00,$330.00,,,
,Nov-09,,$327.14,$335.00,$325.00,$315.00,$325.00,$330.00,$330.00,$330.00,,,
,Oct-09,,$318.57,$335.00,$325.00,$315.00,$325.00,$310.00,$310.00,$310.00,,,
,Sep-09,,$318.57,$335.00,$325.00,$315.00,$325.00,$310.00,$310.00,$310.00,,,
,Aug-09,,$288.57,$305.00,$295.00,$285.00,$295.00,$280.00,$280.00,$280.00,,,
,Jul-09,,$255.71,$275.00,$265.00,$245.00,$255.00,$250.00,$250.00,$250.00,,,
,Jun-09,,$234.29,$255.00,$245.00,$215.00,$235.00,$230.00,$230.00,$230.00,,,
,May-09,,$224.29,$245.00,$235.00,$205.00,$225.00,$220.00,$220.00,$220.00,,,
,"Apr-09",,$229.29,$250.00,$240.00,$210.00,$230.00,$225.00,$225.00,$225.00,,,
,"Mar-09",,$249.29,$270.00,$260.00,$230.00,$250.00,$245.00,$245.00,$245.00,,,
,"Feb-09",,$266.43,$290.00,$280.00,$250.00,$250.00,$265.00,$265.00,$265.00,,,
,"Jan-09",7-Jan,$301.43,$325.00,$315.00,$285.00,$285.00,$300.00,$300.00,$300.00," ",,
,Dec-08,7-Jan,$336.43,$360.00,$350.00,$320.00,$320.00,$335.00,$335.00,$335.00," ",,
,Nov-08,7-Jan,$366.43,$390.00,$380.00,$350.00,$350.00,$365.00,$365.00,$365.00," ",,
,Oct-08,7-Jan,$390.71,$410.00,$400.00,$370.00,$370.00,$395.00,$395.00,$395.00," ",,
,Sep-08,7-Jan,$390.71,$410.00,$400.00,$370.00,$370.00,$395.00,$395.00,$395.00," ",,
,Aug-08,7-Jan,$390.71,$410.00,$400.00,$370.00,$370.00,$395.00,$395.00,$395.00," ",,
,Jul-08,7-Jan,$390.71,$410.00,$400.00,$370.00,$370.00,$395.00,$395.00,$395.00," ",,
,Jun-08,7-Jan,$390.71,$410.00,$400.00,$370.00,$370.00,$395.00,$395.00,$395.00," ",,
,May-08,7-Jan,$390.71,$410.00,$400.00,$370.00,$370.00,$395.00,$395.00,$395.00," ",,
,Apr-08,7-Jan,$390.71,$410.00,$400.00,$370.00,$370.00,$395.00,$395.00,$395.00," ",,
,Mar-08,7-Jan,$390.71,$410.00,$400.00,$370.00,$370.00,$395.00,$395.00,$395.00," ",,
,Feb-08,7-Jan,$386.43,$410.00,$400.00,$370.00,$370.00,$385.00,$385.00,$385.00," ",,
,"Jan-08",7-Jan,$380.71,$410.00,$390.00,$370.00,$370.00,$375.00,$375.00,$375.00," ",,
,Dec-07,7-Jan,$370.71,$400.00,$380.00,$360.00,$360.00,$365.00,$365.00,$365.00," ",,
,Nov-07,7-Jan,$362.14,$370.00,$370.00,$350.00,$350.00,$365.00,$365.00,$365.00," ",,
,Oct-07,7-Jan,$349.29,$370.00,$350.00,$315.00,$315.00,$365.00,$365.00,$365.00," ",,
,Sep-07,7-Jan,$337.14,$350.00,$330.00,$315.00,$315.00,$350.00,$350.00,$350.00," ",,
,Aug-07,7-Jan,$327.14,$350.00,$300.00,$305.00,$285.00,$350.00,$350.00,$350.00," ",,
,Jul-07,7-Jan,$325.00,$350.00,$285.00,$305.00,$285.00,$350.00,$350.00,$350.00," ",,
,Jun-07,7-Jan,$325.00,$350.00,$285.00,$305.00,$285.00,$350.00,$350.00,$350.00," ",,
,May-07,7-Jan,$325.00,$350.00,$285.00,$305.00,$285.00,$350.00,$350.00,$350.00," ",,
,Apr-07,7-Jan,$333.57,$350.00,$295.00,$315.00,$295.00,$360.00,$360.00,$360.00," ",,
,Mar-07,7-Jan,$340.00,$350.00,$295.00,$315.00,$295.00,$375.00,$375.00,$375.00," ",,
,Feb-07,7-Jan,$332.86,$330.00,$295.00,$315.00,$295.00,$365.00,$365.00,$365.00," ",,
,Jan-07,7-Jan,$328.57,$330.00,$295.00,$315.00,$295.00,$355.00,$355.00,$355.00," ",,
,Dec-06,,$320.00,$330.00,$295.00,$315.00,$295.00,$335.00,$335.00,$335.00," ",,
,Nov-06,,$320.00,$330.00,$295.00,$315.00,$295.00,$335.00,$335.00,$335.00," ",,
,Oct-06,,$315.71,$330.00,$295.00,$315.00,$295.00,$325.00,$325.00,$325.00," ",,
,Sep-06,,$300.71,$315.00,$280.00,$300.00,$280.00,$310.00,$310.00,$310.00," ",,
,Aug-06,,$295.00,$305.00,$270.00,$290.00,$270.00,$310.00,$310.00,$310.00," ",,
,Jul-06,,$288.57,$305.00,$270.00,$290.00,$270.00,$295.00,$295.00,$295.00," ",,
,Jun-06,,$282.14,$305.00,$270.00,$290.00,$270.00,$280.00,$280.00,$280.00," ",,
,May-06,,$280.71,$295.00,$270.00,$290.00,$270.00,$280.00,$280.00,$280.00," ",,
,Apr-06,,$277.86,$295.00,$270.00,$270.00,$270.00,$280.00,$280.00,$280.00," ",,
,Mar-06,,$277.86,$295.00,$270.00,$270.00,$270.00,$280.00,$280.00,$280.00," ",,
,Feb-06,,$277.86,$295.00,$270.00,$270.00,$270.00,$280.00,$280.00,$280.00," ",,
,Jan-06,,$277.86,$295.00,$270.00,$270.00,$270.00,$280.00,$280.00,$280.00," ",,
,Dec-05,,$277.86,$295.00,$270.00,$270.00,$270.00,$280.00,$280.00,$280.00," ",,
,Nov-05,,$277.86,$295.00,$270.00,$270.00,$270.00,$280.00,$280.00,$280.00," ",,
,Oct-05,,$280.71,$295.00,$290.00,$270.00,$270.00,$280.00,$280.00,$280.00," ",,
,Sep-05,,$280.71,$295.00,$290.00,$270.00,$270.00,$280.00,$280.00,$280.00," ",,
