DATE,Avg. Price,East,Midwest,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW, , ,
Oct-14,$240.00,$240.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Sep-14,$240.00,$240.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Aug-14,$238.33,$230.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Jul-14,$238.33,$230.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Jun-14,$240.00,$240.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
May-14,$240.00,$240.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Apr-14,$240.00,$240.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Mar-14,$240.00,$240.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Feb-14,$240.00,$240.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Jan-14,$240.00,$240.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Dec-13,$240.00,$240.00,$230.00,$235.00,$235.00,$260.00,,$240.00,,,
Nov-13,$238.33,$250.00,$230.00,$235.00,$235.00,$250.00,,$230.00,,,
Oct-13,$234.17,$250.00,$230.00,$235.00,$235.00,$235.00,,$220.00,,,
Sep-13,$232.50,$245.00,$230.00,$235.00,$230.00,$235.00,,$220.00,,, 
Aug-13,$230.83,$235.00,$230.00,$235.00,$230.00,$235.00, ,$220.00, ,,
Jul-13,$231.67,$235.00,$230.00,$235.00,$230.00,$240.00, ,$220.00, ,,
Jun-13,$231.67,$235.00,$230.00,$235.00,$230.00,$240.00, ,$220.00, ,,
May-13,$231.67,$235.00,$230.00,$235.00,$230.00,$240.00, ,$220.00, ,,
Apr-13,$232.50,$235.00,$230.00,$235.00,$230.00,$240.00,,$225.00,,,
Mar-13,$232.50,$235.00,$230.00,$235.00,$230.00,$240.00,,$225.00,,,
Feb-13,$221.67,$220.00,$220.00,$230.00,$220.00,$225.00,,$215.00,,,
Jan-13,$221.67,$220.00,$220.00,$230.00,$220.00,$225.00,,$215.00,,,
Dec-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Nov-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Oct-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Sep-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Aug-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Jul-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Jun-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
May-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Apr-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Mar-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Feb-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Jan-12,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Dec-11,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Nov-11,$218.57,$220.00,$210.00,$200.00,$210.00,$230.00,$230.00,$230.00,,,
Oct-11,$233.57,$235.00,$225.00,$215.00,$225.00,$245.00,$245.00,$245.00,,,
Sep-11,$233.57,$235.00,$225.00,$215.00,$225.00,$245.00,$245.00,$245.00,,,
Aug-11,$232.86,$230.00,$225.00,$215.00,$225.00,$245.00,$245.00,$245.00,,,
Jul-11,$232.86,$230.00,$225.00,$215.00,$225.00,$245.00,$245.00,$245.00,,,
Jun-11,$232.86,$230.00,$225.00,$215.00,$225.00,$245.00,$245.00,$245.00,,,
May-11,$232.86,$230.00,$225.00,$215.00,$225.00,$245.00,$245.00,$245.00,,,
Apr-11,$228.57,$230.00,$225.00,$215.00,$225.00,$235.00,$235.00,$235.00,,,
Mar-11,$224.29,$230.00,$225.00,$215.00,$225.00,$225.00,$225.00,$225.00,,,
Feb-11,$218.57,$220.00,$215.00,$205.00,$215.00,$225.00,$225.00,$225.00,,,
Jan-11,$218.57,$220.00,$215.00,$205.00,$215.00,$225.00,$225.00,$225.00,,,
Dec-10,$210.00,$220.00,$205.00,$195.00,$205.00,$215.00,$215.00,$215.00,,,
Nov-10,$205.71,$220.00,$195.00,$185.00,$195.00,$215.00,$215.00,$215.00,,,
Oct-10,$201.43,$220.00,$185.00,$175.00,$185.00,$215.00,$215.00,$215.00,,,
Sep-10,$201.43,$220.00,$185.00,$175.00,$185.00,$215.00,$215.00,$215.00,,,
Aug-10,$201.43,$220.00,$185.00,$175.00,$185.00,$215.00,$215.00,$215.00,,,
